Textbox15,Textbox4,Textbox10
18/05/2020 a 22/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,27","     3,24"
2,BCO J.P. MORGAN S.A.,"   0,34","     4,12"
3,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,37","     4,55"
4,BCO CITIBANK S.A.,"   0,54","     6,62"
5,BCO MERCEDES-BENZ S.A.,"   0,58","     7,19"
6,BCO VOTORANTIM S.A.,"   0,63","     7,79"
7,BCO SAFRA S.A.,"   0,66","     8,24"
8,BANCO FIDIS,"   0,67","     8,32"
9,BCO SOCIETE GENERALE BRASIL,"   0,67","     8,40"
10,BCO SANTANDER (BRASIL) S.A.,"   0,69","     8,61"
11,BANCO BTG PACTUAL S.A.,"   0,69","     8,66"
12,BCO INDUSTRIAL DO BRASIL S.A.,"   0,95","    12,03"
13,BCO FIBRA S.A.,"   0,99","    12,54"
14,BCO ABC BRASIL S.A.,"   1,07","    13,67"
15,ITAÚ UNIBANCO S.A.,"   1,10","    14,04"
16,BCO DO ESTADO DO RS S.A.,"   1,14","    14,56"
17,BCO DAYCOVAL S.A,"   1,23","    15,80"
18,BCO DO BRASIL S.A.,"   1,30","    16,77"
19,HS FINANCEIRA,"   1,38","    17,94"
20,CAIXA ECONOMICA FEDERAL,"   1,55","    20,25"
21,BCO DO NORDESTE DO BRASIL S.A.,"   1,57","    20,59"
22,GAZINCRED S.A. SCFI,"   1,59","    20,84"
23,BCO SOFISA S.A.,"   1,59","    20,87"
24,BANCO RANDON S.A.,"   1,61","    21,16"
25,BCO BNP PARIBAS BRASIL S A,"   1,68","    22,16"
26,OMNI BANCO S.A.,"   1,72","    22,70"
27,BANCO MONEO S.A.,"   1,73","    22,78"
28,SANTINVEST S.A. - CFI,"   1,75","    23,15"
29,BCO RIBEIRAO PRETO S.A.,"   1,82","    24,18"
30,BCO BRADESCO S.A.,"   1,90","    25,35"
31,BCO GUANABARA S.A.,"   1,90","    25,40"
32,BCO BANESTES S.A.,"   1,98","    26,56"
33,BCO RENDIMENTO S.A.,"   2,01","    26,99"
34,BANCO ORIGINAL,"   2,13","    28,77"
35,BCO MAXINVEST S.A.,"   2,14","    28,93"
36,BCO LUSO BRASILEIRO S.A.,"   2,30","    31,32"
37,BCO DA AMAZONIA S.A.,"   2,32","    31,63"
38,BCO TRIANGULO S.A.,"   2,89","    40,76"
39,BCO MERCANTIL DO BRASIL S.A.,"   2,95","    41,81"
40,SANTANA S.A. - CFI,"   2,98","    42,28"
41,BCO A.J. RENNER S.A.,"   3,11","    44,46"
42,BRB - BCO DE BRASILIA S.A.,"   3,25","    46,76"
43,BCO CREFISA S.A.,"   3,84","    57,26"
44,BCO CAPITAL S.A.,"   4,34","    66,58"
45,FINAMAX S.A. CFI,"   4,74","    74,25"
46,VIA CERTA FINANCIADORA S.A. - CFI,"   5,77","    96,10"
47,BANCO DIGIO,"  10,39","   227,48"

