Textbox15,Textbox4,Textbox10
11/05/2020 a 15/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,29","     3,57"
2,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,38","     4,60"
3,BCO HONDA S.A.,"   0,43","     5,27"
4,BCO CITIBANK S.A.,"   0,54","     6,72"
5,BANCOOB,"   0,57","     7,06"
6,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
7,BCO DO BRASIL S.A.,"   0,80","    10,06"
8,BCO DO NORDESTE DO BRASIL S.A.,"   0,81","    10,21"
9,BCO ALFA DE INVESTIMENTO S.A.,"   0,82","    10,36"
10,ITAÚ UNIBANCO S.A.,"   0,97","    12,29"
11,BCO FIBRA S.A.,"   0,98","    12,42"
12,BCO ABC BRASIL S.A.,"   0,98","    12,47"
13,BANCO MONEO S.A.,"   0,99","    12,55"
14,BCO INDUSTRIAL DO BRASIL S.A.,"   1,00","    12,67"
15,BRB - BCO DE BRASILIA S.A.,"   1,07","    13,58"
16,BCO VOLVO BRASIL S.A.,"   1,12","    14,35"
17,BCO BRADESCO S.A.,"   1,12","    14,35"
18,BCO SOFISA S.A.,"   1,14","    14,58"
19,BCO DAYCOVAL S.A,"   1,22","    15,71"
20,BANCO RANDON S.A.,"   1,26","    16,19"
21,BCO MUFG BRASIL S.A.,"   1,40","    18,21"
22,CAIXA ECONOMICA FEDERAL,"   1,42","    18,40"
23,BCO SAFRA S.A.,"   1,44","    18,68"
24,BCO GUANABARA S.A.,"   1,47","    19,10"
25,BCO SANTANDER (BRASIL) S.A.,"   1,49","    19,37"
26,BCO DO ESTADO DO RS S.A.,"   1,53","    20,04"
27,BCO DA AMAZONIA S.A.,"   1,56","    20,34"
28,BANCO INBURSA,"   1,63","    21,41"
29,OMNI BANCO S.A.,"   1,82","    24,11"
30,BCO INDUSCRED DE INVESTIM. S/A,"   2,17","    29,38"
31,GOLCRED S/A - CFI,"   2,17","    29,40"
32,BCO DO EST. DE SE S.A.,"   2,26","    30,76"
33,BCO ARBI S.A.,"   2,39","    32,81"
34,SOCINAL S.A. CFI,"   2,50","    34,49"
35,BCO BANESTES S.A.,"   2,67","    37,23"
36,PORTOSEG S.A. CFI,"   2,83","    39,70"
37,BCO TRIANGULO S.A.,"   3,00","    42,51"
38,BANCO BTG PACTUAL S.A.,"   3,03","    42,99"
39,BRK S.A. CFI,"   3,23","    46,44"
40,BANCO TOPÁZIO S.A.,"   3,70","    54,70"
41,SENFF S.A. - CFI,"   4,24","    64,60"

