Textbox15,Textbox4,Textbox10
14/05/2020 a 20/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SAFRA S.A.,"   0,84","    10,52"
2,BCO ANDBANK S.A.,"   1,06","    13,48"
3,BCO VOLVO BRASIL S.A.,"   1,23","    15,76"
4,BCO TOYOTA DO BRASIL S.A.,"   1,50","    19,56"
5,BCO RENDIMENTO S.A.,"   1,55","    20,31"
6,BCO A.J. RENNER S.A.,"   1,56","    20,46"
7,BANCO INTER,"   1,75","    23,20"
8,BCO MÁXIMA S.A.,"   1,90","    25,30"
9,BCO DO EST. DE SE S.A.,"   2,15","    29,12"
10,BCO DA AMAZONIA S.A.,"   2,20","    29,80"
11,BANCO INBURSA,"   2,55","    35,32"
12,ITAÚ UNIBANCO S.A.,"   2,66","    37,05"
13,SIMPALA S.A. CFI,"   2,78","    38,97"
14,BCO DO NORDESTE DO BRASIL S.A.,"   2,87","    40,45"
15,BCO C6 S.A.,"   2,87","    40,46"
16,FINANC ALFA S.A. CFI,"   2,88","    40,52"
17,SANTANA S.A. - CFI,"   2,99","    42,35"
18,BRB - BCO DE BRASILIA S.A.,"   3,13","    44,76"
19,BCO SANTANDER (BRASIL) S.A.,"   3,18","    45,62"
20,PORTOSEG S.A. CFI,"   3,26","    46,95"
21,SINOSSERRA S/A - SCFI,"   3,28","    47,25"
22,BCO DO BRASIL S.A.,"   3,28","    47,36"
23,CAIXA ECONOMICA FEDERAL,"   3,29","    47,54"
24,NU FINANCEIRA S.A. CFI,"   3,59","    52,63"
25,BANCO ORIGINAL,"   3,75","    55,57"
26,BCO DO EST. DO PA S.A.,"   3,80","    56,47"
27,AYMORÉ CFI S.A.,"   3,92","    58,68"
28,BCO BANESTES S.A.,"   4,02","    60,47"
29,OMNI BANCO S.A.,"   4,09","    61,80"
30,BCO DO ESTADO DO RS S.A.,"   4,45","    68,70"
31,BCO BRADESCO S.A.,"   4,52","    69,95"
32,BV FINANCEIRA S.A. CFI,"   4,79","    75,36"
33,SOROCRED CFI S.A.,"   5,37","    87,41"
34,CENTROCRED S.A. CFI,"   5,50","    90,22"
35,OMNI SA CFI,"   5,66","    93,60"
36,BCO LOSANGO S.A.,"   6,22","   106,36"
37,BANCO DIGIO,"   6,51","   113,18"
38,ZEMA CFI S/A,"   7,98","   151,36"
39,KREDILIG S.A. - CFI,"   8,22","   157,91"
40,GOLCRED S/A - CFI,"   8,47","   165,27"
41,BCO MERCANTIL DO BRASIL S.A.,"   8,98","   180,56"
42,FINAMAX S.A. CFI,"   9,47","   196,12"
43,SAX S.A. CFI,"   9,59","   200,09"
44,HS FINANCEIRA,"   9,70","   203,67"
45,GAZINCRED S.A. SCFI,"  10,35","   226,16"
46,SENFF S.A. - CFI,"  10,52","   232,16"
47,PORTOCRED S.A. - CFI,"  11,16","   255,78"
48,BANCO TOPÁZIO S.A.,"  11,25","   259,44"
49,CREDIARE CFI S.A.,"  11,62","   273,93"
50,BANCO SEMEAR,"  12,05","   291,59"
51,VIA CERTA FINANCIADORA S.A. - CFI,"  12,32","   303,29"
52,LEBES FINANCEIRA CFI SA,"  12,45","   308,75"
53,LECCA CFI S.A.,"  13,07","   336,58"
54,NEGRESCO S.A. - CFI,"  13,58","   360,76"
55,REALIZE CFI S.A.,"  13,69","   366,45"
56,BCO AGIBANK S.A.,"  13,82","   372,76"
57,AGORACRED S/A SCFI,"  15,95","   490,25"
58,BCO DAYCOVAL S.A,"  16,07","   497,86"
59,BANCOSEGURO S.A.,"  17,17","   569,35"
60,FACTA S.A. CFI,"  19,78","   771,90"
61,BCO BMG S.A.,"  19,87","   779,99"
62,CREFISA S.A. CFI,"  21,60","   944,96"
63,JBCRED S.A. SCFI,"  25,86"," 1.480,24"

