Textbox15,Textbox4,Textbox10
04/05/2020 a 08/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BANCOOB,"   0,75","     9,38"
2,BCO SAFRA S.A.,"   0,86","    10,80"
3,BCO INDUSCRED DE INVESTIM. S/A,"   1,03","    13,13"
4,BCO ANDBANK S.A.,"   1,06","    13,48"
5,BCO VOLVO BRASIL S.A.,"   1,37","    17,79"
6,BCO SOFISA S.A.,"   1,50","    19,56"
7,BCO BS2 S.A.,"   1,50","    19,56"
8,BCO GUANABARA S.A.,"   1,63","    21,45"
9,BANCO INTER,"   1,75","    23,17"
10,BCO TRICURY S.A.,"   1,80","    23,87"
11,BCO A.J. RENNER S.A.,"   1,81","    23,98"
12,BCO DO EST. DE SE S.A.,"   2,12","    28,69"
13,BCO C6 S.A.,"   2,15","    29,02"
14,BCO DO ESTADO DO RS S.A.,"   2,30","    31,42"
15,BCO DA AMAZONIA S.A.,"   2,33","    31,90"
16,BCO DO NORDESTE DO BRASIL S.A.,"   2,48","    34,14"
17,BANCO INBURSA,"   2,52","    34,77"
18,HS FINANCEIRA,"   2,83","    39,75"
19,ITAÚ UNIBANCO S.A.,"   2,89","    40,77"
20,SANTANA S.A. - CFI,"   3,04","    43,24"
21,BCO SANTANDER (BRASIL) S.A.,"   3,12","    44,51"
22,SIMPALA S.A. CFI,"   3,21","    46,08"
23,CAIXA ECONOMICA FEDERAL,"   3,24","    46,69"
24,BCO DO BRASIL S.A.,"   3,34","    48,32"
25,BANCO ORIGINAL,"   3,40","    49,37"
26,SINOSSERRA S/A - SCFI,"   3,46","    50,48"
27,FINANC ALFA S.A. CFI,"   3,47","    50,54"
28,PORTOSEG S.A. CFI,"   3,49","    50,92"
29,NU FINANCEIRA S.A. CFI,"   3,52","    51,37"
30,OMNI SA CFI,"   3,85","    57,31"
31,BCO DO EST. DO PA S.A.,"   3,95","    59,18"
32,BRB - BCO DE BRASILIA S.A.,"   3,98","    59,80"
33,AYMORÉ CFI S.A.,"   4,01","    60,25"
34,OMNI BANCO S.A.,"   4,24","    64,54"
35,BCO BANESTES S.A.,"   4,27","    65,21"
36,BCO BRADESCO S.A.,"   4,69","    73,26"
37,BV FINANCEIRA S.A. CFI,"   4,90","    77,52"
38,BCO RENDIMENTO S.A.,"   5,00","    79,59"
39,CENTROCRED S.A. CFI,"   5,49","    89,86"
40,SOROCRED CFI S.A.,"   5,55","    91,21"
41,BCO LOSANGO S.A.,"   6,41","   110,64"
42,BANCO DIGIO,"   6,61","   115,64"
43,KREDILIG S.A. - CFI,"   8,02","   152,28"
44,FINAMAX S.A. CFI,"   8,07","   153,78"
45,GOLCRED S/A - CFI,"   8,08","   154,12"
46,ZEMA CFI S/A,"   8,55","   167,59"
47,BCO MERCANTIL DO BRASIL S.A.,"   8,91","   178,62"
48,GAZINCRED S.A. SCFI,"  10,13","   218,26"
49,SENFF S.A. - CFI,"  10,27","   223,19"
50,BANCO TOPÁZIO S.A.,"  11,11","   254,13"
51,CREDIARE CFI S.A.,"  11,69","   276,96"
52,PORTOCRED S.A. - CFI,"  11,75","   279,49"
53,BANCO SEMEAR,"  12,04","   291,42"
54,LEBES FINANCEIRA CFI SA,"  12,24","   299,92"
55,VIA CERTA FINANCIADORA S.A. - CFI,"  12,73","   321,00"
56,BCO AGIBANK S.A.,"  13,12","   339,16"
57,LECCA CFI S.A.,"  13,14","   340,13"
58,NEGRESCO S.A. - CFI,"  13,48","   356,20"
59,REALIZE CFI S.A.,"  13,64","   363,77"
60,AGORACRED S/A SCFI,"  15,94","   490,09"
61,BANCOSEGURO S.A.,"  16,71","   539,02"
62,BCO BMG S.A.,"  19,66","   762,16"
63,FACTA S.A. CFI,"  20,14","   803,89"
64,BCO DAYCOVAL S.A,"  20,79","   864,21"
65,CREFISA S.A. CFI,"  21,71","   956,96"
66,JBCRED S.A. SCFI,"  26,89"," 1.642,47"

