Textbox15,Textbox4,Textbox10
13/05/2020 a 19/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,33","     4,01"
2,BCO HONDA S.A.,"   0,43","     5,26"
3,BCO CITIBANK S.A.,"   0,55","     6,80"
4,BANCOOB,"   0,57","     7,06"
5,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
6,BCO DO BRASIL S.A.,"   0,80","     9,97"
7,BCO VOTORANTIM S.A.,"   0,80","    10,00"
8,BCO ALFA DE INVESTIMENTO S.A.,"   0,82","    10,36"
9,BCO SOFISA S.A.,"   0,91","    11,54"
10,ITAÚ UNIBANCO S.A.,"   0,92","    11,65"
11,BCO ABC BRASIL S.A.,"   1,03","    13,14"
12,BANCO RANDON S.A.,"   1,05","    13,35"
13,BRB - BCO DE BRASILIA S.A.,"   1,06","    13,48"
14,BCO SANTANDER (BRASIL) S.A.,"   1,08","    13,76"
15,BCO BRADESCO S.A.,"   1,09","    13,88"
16,BCO DO NORDESTE DO BRASIL S.A.,"   1,09","    13,92"
17,BCO VOLVO BRASIL S.A.,"   1,12","    14,34"
18,BCO SAFRA S.A.,"   1,19","    15,25"
19,BCO MUFG BRASIL S.A.,"   1,40","    18,21"
20,BCO DAYCOVAL S.A,"   1,41","    18,33"
21,BCO GUANABARA S.A.,"   1,47","    19,10"
22,CAIXA ECONOMICA FEDERAL,"   1,47","    19,13"
23,BCO DO ESTADO DO RS S.A.,"   1,52","    19,79"
24,BANCO SEMEAR,"   1,76","    23,34"
25,OMNI BANCO S.A.,"   1,77","    23,37"
26,CARUANA SCFI,"   1,80","    23,87"
27,BCO DA AMAZONIA S.A.,"   1,84","    24,45"
28,BCO DO EST. DE SE S.A.,"   1,86","    24,76"
29,GOLCRED S/A - CFI,"   1,97","    26,39"
30,BCO MERCANTIL DO BRASIL S.A.,"   1,97","    26,41"
31,BCO INDUSCRED DE INVESTIM. S/A,"   2,18","    29,50"
32,LECCA CFI S.A.,"   2,20","    29,77"
33,BCO ARBI S.A.,"   2,39","    32,81"
34,SOCINAL S.A. CFI,"   2,50","    34,49"
35,BCO TRIANGULO S.A.,"   2,59","    35,89"
36,BCO BANESTES S.A.,"   2,67","    37,23"
37,BRK S.A. CFI,"   3,01","    42,77"
38,BANCO BTG PACTUAL S.A.,"   3,03","    42,99"
39,SENFF S.A. - CFI,"   3,17","    45,43"
40,PORTOSEG S.A. CFI,"   3,35","    48,45"
41,BANCO TOPÁZIO S.A.,"   6,81","   120,41"

