Textbox15,Textbox4,Textbox10
13/05/2020 a 19/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BNP PARIBAS BRASIL S A,"   0,53","     6,50"
2,BCO SAFRA S.A.,"   0,82","    10,29"
3,BCO ANDBANK S.A.,"   1,06","    13,48"
4,BCO VOLVO BRASIL S.A.,"   1,22","    15,63"
5,BCO TOYOTA DO BRASIL S.A.,"   1,50","    19,56"
6,BCO A.J. RENNER S.A.,"   1,75","    23,15"
7,BANCO INTER,"   1,75","    23,20"
8,BCO RENDIMENTO S.A.,"   1,77","    23,39"
9,BCO MÁXIMA S.A.,"   1,90","    25,32"
10,BCO DO EST. DE SE S.A.,"   2,14","    28,92"
11,BCO C6 S.A.,"   2,18","    29,54"
12,BCO DA AMAZONIA S.A.,"   2,20","    29,90"
13,BANCO INBURSA,"   2,45","    33,75"
14,ITAÚ UNIBANCO S.A.,"   2,66","    36,97"
15,SIMPALA S.A. CFI,"   2,78","    38,97"
16,BCO DO NORDESTE DO BRASIL S.A.,"   2,82","    39,66"
17,SANTANA S.A. - CFI,"   2,99","    42,35"
18,FINANC ALFA S.A. CFI,"   3,08","    43,87"
19,PORTOSEG S.A. CFI,"   3,09","    44,03"
20,BRB - BCO DE BRASILIA S.A.,"   3,18","    45,52"
21,BCO SANTANDER (BRASIL) S.A.,"   3,22","    46,21"
22,CAIXA ECONOMICA FEDERAL,"   3,28","    47,28"
23,BCO DO BRASIL S.A.,"   3,35","    48,45"
24,NU FINANCEIRA S.A. CFI,"   3,50","    51,04"
25,SINOSSERRA S/A - SCFI,"   3,65","    53,79"
26,BANCO ORIGINAL,"   3,66","    53,91"
27,BCO DO EST. DO PA S.A.,"   3,79","    56,26"
28,BCO BANESTES S.A.,"   3,85","    57,43"
29,AYMORÉ CFI S.A.,"   3,86","    57,62"
30,OMNI BANCO S.A.,"   4,11","    62,07"
31,OMNI SA CFI,"   4,15","    62,90"
32,BCO DO ESTADO DO RS S.A.,"   4,50","    69,65"
33,BCO BRADESCO S.A.,"   4,50","    69,67"
34,BV FINANCEIRA S.A. CFI,"   4,67","    72,98"
35,SOROCRED CFI S.A.,"   5,42","    88,31"
36,CENTROCRED S.A. CFI,"   5,50","    90,14"
37,BCO LOSANGO S.A.,"   6,33","   108,94"
38,BANCO DIGIO,"   6,51","   113,18"
39,ZEMA CFI S/A,"   8,11","   155,02"
40,KREDILIG S.A. - CFI,"   8,23","   158,28"
41,GOLCRED S/A - CFI,"   8,24","   158,73"
42,BCO MERCANTIL DO BRASIL S.A.,"   9,00","   181,29"
43,SAX S.A. CFI,"   9,54","   198,48"
44,FINAMAX S.A. CFI,"   9,56","   199,17"
45,HS FINANCEIRA,"   9,70","   203,67"
46,GAZINCRED S.A. SCFI,"  10,33","   225,23"
47,SENFF S.A. - CFI,"  10,44","   229,15"
48,PORTOCRED S.A. - CFI,"  11,20","   257,36"
49,BANCO TOPÁZIO S.A.,"  11,25","   259,48"
50,CREDIARE CFI S.A.,"  11,59","   272,70"
51,BANCO SEMEAR,"  12,05","   291,51"
52,LEBES FINANCEIRA CFI SA,"  12,35","   304,52"
53,VIA CERTA FINANCIADORA S.A. - CFI,"  12,43","   308,02"
54,LECCA CFI S.A.,"  13,04","   335,21"
55,NEGRESCO S.A. - CFI,"  13,42","   353,05"
56,REALIZE CFI S.A.,"  13,82","   372,85"
57,BCO AGIBANK S.A.,"  13,85","   374,08"
58,AGORACRED S/A SCFI,"  16,14","   502,51"
59,BANCOSEGURO S.A.,"  17,02","   559,32"
60,BCO DAYCOVAL S.A,"  18,52","   668,18"
61,FACTA S.A. CFI,"  19,37","   737,18"
62,BCO BMG S.A.,"  19,90","   783,01"
63,CREFISA S.A. CFI,"  21,62","   947,48"
64,JBCRED S.A. SCFI,"  26,16"," 1.525,22"

