Textbox15,Textbox4,Textbox10
06/05/2020 a 12/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,29","     3,57"
2,BCO MIZUHO S.A.,"   0,31","     3,75"
3,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,38","     4,60"
4,BCO HONDA S.A.,"   0,42","     5,21"
5,BCO DO NORDESTE DO BRASIL S.A.,"   0,46","     5,72"
6,BANCOOB,"   0,57","     7,06"
7,BCO CITIBANK S.A.,"   0,58","     7,16"
8,BCO VOTORANTIM S.A.,"   0,65","     8,09"
9,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
10,BCO BANESTES S.A.,"   0,91","    11,54"
11,ITAÚ UNIBANCO S.A.,"   0,93","    11,69"
12,BCO FIBRA S.A.,"   0,98","    12,42"
13,BANCO MONEO S.A.,"   0,99","    12,55"
14,BCO INDUSTRIAL DO BRASIL S.A.,"   1,00","    12,67"
15,BCO VOLVO BRASIL S.A.,"   1,11","    14,15"
16,BCO RODOBENS S.A.,"   1,14","    14,53"
17,BCO SANTANDER (BRASIL) S.A.,"   1,15","    14,70"
18,BCO ABC BRASIL S.A.,"   1,19","    15,30"
19,BCO BMG S.A.,"   1,20","    15,35"
20,BCO PINE S.A.,"   1,22","    15,66"
21,BCO DO ESTADO DO RS S.A.,"   1,22","    15,67"
22,BRB - BCO DE BRASILIA S.A.,"   1,23","    15,75"
23,BCO DAYCOVAL S.A,"   1,23","    15,82"
24,BCO DO EST. DE SE S.A.,"   1,35","    17,47"
25,BCO SOFISA S.A.,"   1,37","    17,79"
26,BCO BS2 S.A.,"   1,40","    18,16"
27,BCO SAFRA S.A.,"   1,42","    18,38"
28,BCO DO BRASIL S.A.,"   1,45","    18,78"
29,BANCO INBURSA,"   1,46","    18,94"
30,BCO BRADESCO S.A.,"   1,48","    19,33"
31,BCO DA AMAZONIA S.A.,"   1,51","    19,72"
32,BANCO RANDON S.A.,"   1,55","    20,27"
33,CAIXA ECONOMICA FEDERAL,"   1,57","    20,58"
34,BCO INDUSCRED DE INVESTIM. S/A,"   1,82","    24,22"
35,BCO ARBI S.A.,"   1,85","    24,60"
36,PORTOSEG S.A. CFI,"   2,00","    26,78"
37,BCO GUANABARA S.A.,"   2,10","    28,32"
38,BCO TRIANGULO S.A.,"   2,37","    32,47"
39,GOLCRED S/A - CFI,"   2,64","    36,78"
40,BCO MERCANTIL DO BRASIL S.A.,"   2,98","    42,23"
41,OMNI BANCO S.A.,"   3,00","    42,58"
42,BRK S.A. CFI,"   3,33","    48,23"
43,BANCO TOPÁZIO S.A.,"   3,51","    51,36"
44,SENFF S.A. - CFI,"   4,06","    61,16"
45,DIRECAO S.A. CFI,"   4,60","    71,52"

