Textbox15,Textbox4,Textbox10
06/05/2020 a 12/05/2020,Pessoa jurídica - Desconto de duplicatas,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,ICBC DO BRASIL BM S.A.,"   0,28","     3,42"
2,BCO J.P. MORGAN S.A.,"   0,34","     4,13"
3,BCO CITIBANK S.A.,"   0,56","     6,90"
4,BCO DE LAGE LANDEN BRASIL S.A.,"   0,57","     7,06"
5,BCO MERCEDES-BENZ S.A.,"   0,63","     7,84"
6,BANCO BTG PACTUAL S.A.,"   0,71","     8,83"
7,BCO SANTANDER (BRASIL) S.A.,"   0,71","     8,86"
8,BCO VOTORANTIM S.A.,"   0,75","     9,38"
9,BCO SOCIETE GENERALE BRASIL,"   0,77","     9,66"
10,BCO BRADESCO S.A.,"   0,92","    11,66"
11,BCO SAFRA S.A.,"   0,93","    11,69"
12,BCO INDUSTRIAL DO BRASIL S.A.,"   0,97","    12,25"
13,BCO ABC BRASIL S.A.,"   1,07","    13,63"
14,BCO FIBRA S.A.,"   1,12","    14,29"
15,ITAÚ UNIBANCO S.A.,"   1,14","    14,62"
16,BCO BS2 S.A.,"   1,18","    15,05"
17,BCO DO BRASIL S.A.,"   1,26","    16,24"
18,HS FINANCEIRA,"   1,28","    16,49"
19,BCO DO ESTADO DO RS S.A.,"   1,31","    16,94"
20,BCO DAYCOVAL S.A,"   1,42","    18,45"
21,BCO RIBEIRAO PRETO S.A.,"   1,50","    19,57"
22,BCO TRIANGULO S.A.,"   1,56","    20,48"
23,CAIXA ECONOMICA FEDERAL,"   1,59","    20,87"
24,BANCO RANDON S.A.,"   1,60","    21,01"
25,OMNI BANCO S.A.,"   1,71","    22,56"
26,BCO SOFISA S.A.,"   1,72","    22,70"
27,BCO BANESTES S.A.,"   1,73","    22,90"
28,BANCO MONEO S.A.,"   1,76","    23,22"
29,KREDILIG S.A. - CFI,"   1,83","    24,27"
30,SANTINVEST S.A. - CFI,"   1,94","    25,90"
31,BCO BNP PARIBAS BRASIL S A,"   1,94","    25,99"
32,BCO RENDIMENTO S.A.,"   1,96","    26,19"
33,BANCO ORIGINAL,"   2,02","    27,19"
34,BCO DO NORDESTE DO BRASIL S.A.,"   2,03","    27,26"
35,BCO MAXINVEST S.A.,"   2,11","    28,53"
36,BCO LUSO BRASILEIRO S.A.,"   2,12","    28,70"
37,BCO MERCANTIL DO BRASIL S.A.,"   2,13","    28,71"
38,BCO DA AMAZONIA S.A.,"   2,28","    31,02"
39,FINANSINOS S.A. CFI,"   2,67","    37,13"
40,BRB - BCO DE BRASILIA S.A.,"   3,02","    42,91"
41,SANTANA S.A. - CFI,"   3,13","    44,74"
42,BCO CAPITAL S.A.,"   3,19","    45,72"
43,BCO CREFISA S.A.,"   3,41","    49,45"
44,BIORC FINANCEIRA - CFI S.A.,"   3,55","    51,91"
45,BCO DO EST. DE SE S.A.,"   4,16","    63,17"
46,VIA CERTA FINANCIADORA S.A. - CFI,"   5,61","    92,57"
47,FINAMAX S.A. CFI,"   6,27","   107,51"
48,GAZINCRED S.A. SCFI,"   6,71","   118,03"
49,BANCO DIGIO,"   9,96","   212,53"

