Textbox15,Textbox4,Textbox10
20/05/2020 a 26/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SAFRA S.A.,"   0,75","     9,38"
2,BCO ABC BRASIL S.A.,"   0,76","     9,50"
3,BCO PINE S.A.,"   1,00","    12,68"
4,BCO RENDIMENTO S.A.,"   1,03","    13,10"
5,BCO ANDBANK S.A.,"   1,06","    13,45"
6,BCO TRICURY S.A.,"   1,22","    15,59"
7,BCO VOLVO BRASIL S.A.,"   1,28","    16,51"
8,ITAÚ UNIBANCO S.A.,"   1,45","    18,81"
9,BCO TOYOTA DO BRASIL S.A.,"   1,50","    19,56"
10,BANCO INTER,"   1,75","    23,19"
11,BCO DA AMAZONIA S.A.,"   1,85","    24,58"
12,BCO MÁXIMA S.A.,"   1,90","    25,30"
13,BCO C6 S.A.,"   2,00","    26,82"
14,BCO A.J. RENNER S.A.,"   2,03","    27,21"
15,BANCO PAN,"   2,10","    28,26"
16,BANCO INBURSA,"   2,15","    29,08"
17,BCO DO EST. DE SE S.A.,"   2,23","    30,35"
18,CREDITÁ S.A. CFI,"   2,36","    32,23"
19,SANTANA S.A. - CFI,"   2,37","    32,48"
20,BCO DO NORDESTE DO BRASIL S.A.,"   2,54","    35,07"
21,BCO SANTANDER (BRASIL) S.A.,"   2,73","    38,21"
22,BRB - BCO DE BRASILIA S.A.,"   2,82","    39,61"
23,SIMPALA S.A. CFI,"   2,83","    39,78"
24,SINOSSERRA S/A - SCFI,"   3,16","    45,33"
25,CAIXA ECONOMICA FEDERAL,"   3,27","    47,09"
26,AYMORÉ CFI S.A.,"   3,29","    47,44"
27,BCO DO BRASIL S.A.,"   3,30","    47,59"
28,FINANC ALFA S.A. CFI,"   3,40","    49,41"
29,SOCINAL S.A. CFI,"   3,50","    51,11"
30,OMNI BANCO S.A.,"   3,59","    52,68"
31,NU FINANCEIRA S.A. CFI,"   3,60","    52,83"
32,BCO DO EST. DO PA S.A.,"   3,72","    54,94"
33,PORTOSEG S.A. CFI,"   3,85","    57,36"
34,BCO BANESTES S.A.,"   3,88","    57,88"
35,BANCO ORIGINAL,"   4,16","    63,14"
36,BCO DO ESTADO DO RS S.A.,"   4,25","    64,72"
37,BCO BRADESCO S.A.,"   4,40","    67,74"
38,BV FINANCEIRA S.A. CFI,"   5,00","    79,61"
39,CENTROCRED S.A. CFI,"   5,58","    91,75"
40,SOROCRED CFI S.A.,"   5,64","    93,10"
41,BCO LOSANGO S.A.,"   5,92","    99,30"
42,OMNI SA CFI,"   5,98","   100,73"
43,BANCO DIGIO,"   6,33","   108,88"
44,ZEMA CFI S/A,"   7,60","   140,76"
45,BECKER FINANCEIRA SA - CFI,"   8,25","   158,77"
46,KREDILIG S.A. - CFI,"   8,41","   163,53"
47,GOLCRED S/A - CFI,"   8,62","   169,68"
48,BCO MERCANTIL DO BRASIL S.A.,"   9,14","   185,65"
49,HS FINANCEIRA,"   9,27","   189,83"
50,FINAMAX S.A. CFI,"   9,50","   197,04"
51,SAX S.A. CFI,"   9,79","   206,78"
52,SENFF S.A. - CFI,"  10,35","   226,09"
53,GAZINCRED S.A. SCFI,"  10,45","   229,67"
54,PORTOCRED S.A. - CFI,"  10,61","   235,35"
55,BANCO TOPÁZIO S.A.,"  11,15","   255,67"
56,CREDIARE CFI S.A.,"  11,50","   269,34"
57,BCO DAYCOVAL S.A,"  11,92","   286,38"
58,VIA CERTA FINANCIADORA S.A. - CFI,"  11,94","   287,00"
59,BANCO SEMEAR,"  12,08","   292,83"
60,LEBES FINANCEIRA CFI SA,"  12,35","   304,44"
61,AGORACRED S/A SCFI,"  13,09","   337,45"
62,LECCA CFI S.A.,"  13,36","   350,10"
63,BCO AGIBANK S.A.,"  13,51","   357,28"
64,NEGRESCO S.A. - CFI,"  13,54","   359,02"
65,REALIZE CFI S.A.,"  13,63","   363,20"
66,BANCOSEGURO S.A.,"  17,57","   597,76"
67,BCO BMG S.A.,"  19,50","   748,35"
68,FACTA S.A. CFI,"  20,94","   879,50"
69,CREFISA S.A. CFI,"  21,56","   941,01"
70,JBCRED S.A. SCFI,"  25,08"," 1.366,75"

