Textbox15,Textbox4,Textbox10
06/05/2020 a 12/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BCO ABC BRASIL S.A.,"   0,62","     7,71"
3,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,65","     8,04"
4,SOROCRED CFI S.A.,"   0,65","     8,08"
5,BCO VOTORANTIM S.A.,"   0,65","     8,13"
6,BANCOOB,"   0,71","     8,82"
7,BCO SOFISA S.A.,"   0,78","     9,79"
8,BCO ALFA DE INVESTIMENTO S.A.,"   0,80","    10,09"
9,BCO SOCIETE GENERALE BRASIL,"   0,88","    11,03"
10,BCO DO BRASIL S.A.,"   0,92","    11,55"
11,BRB - BCO DE BRASILIA S.A.,"   0,94","    11,94"
12,CAIXA ECONOMICA FEDERAL,"   0,98","    12,45"
13,BCO DO NORDESTE DO BRASIL S.A.,"   0,99","    12,58"
14,BCO VOLVO BRASIL S.A.,"   1,05","    13,36"
15,BCO TRIANGULO S.A.,"   1,06","    13,43"
16,BCO SAFRA S.A.,"   1,17","    14,97"
17,ITAÚ UNIBANCO S.A.,"   1,18","    15,09"
18,BCO DAYCOVAL S.A,"   1,19","    15,19"
19,BCO INDUSTRIAL DO BRASIL S.A.,"   1,27","    16,36"
20,BCO DES. DE MG S.A.,"   1,31","    16,88"
21,BCO ARBI S.A.,"   1,35","    17,46"
22,BCO DO EST. DE SE S.A.,"   1,38","    17,81"
23,BCO DA AMAZONIA S.A.,"   1,43","    18,56"
24,BCO GUANABARA S.A.,"   1,46","    18,96"
25,BCO DO EST. DO PA S.A.,"   1,46","    19,02"
26,BCO RIBEIRAO PRETO S.A.,"   1,50","    19,56"
27,FACTA S.A. CFI,"   1,61","    21,19"
28,BCO BRADESCO S.A.,"   1,62","    21,32"
29,BCO MERCANTIL DO BRASIL S.A.,"   1,63","    21,43"
30,BCO PINE S.A.,"   1,69","    22,20"
31,CARUANA SCFI,"   1,72","    22,69"
32,BCO BANESTES S.A.,"   1,76","    23,29"
33,BCO SANTANDER (BRASIL) S.A.,"   1,76","    23,32"
34,BANCO SEMEAR,"   1,79","    23,68"
35,BCO MAXINVEST S.A.,"   1,80","    23,92"
36,GOLCRED S/A - CFI,"   1,95","    26,09"
37,PORTOCRED S.A. - CFI,"   2,00","    26,82"
38,BCO DO ESTADO DO RS S.A.,"   2,14","    28,94"
39,SIMPALA S.A. CFI,"   2,19","    29,71"
40,PORTOSEG S.A. CFI,"   2,32","    31,62"
41,BANCO TOPÁZIO S.A.,"   2,54","    35,10"
42,SOCINAL S.A. CFI,"   2,60","    36,07"
43,VIA CERTA FINANCIADORA S.A. - CFI,"   3,44","    50,08"
44,OMNI BANCO S.A.,"   4,03","    60,73"

