Textbox15,Textbox4,Textbox10
04/05/2020 a 08/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BCO CITIBANK S.A.,"   0,59","     7,30"
3,PORTOCRED S.A. - CFI,"   0,63","     7,79"
4,SOROCRED CFI S.A.,"   0,65","     8,08"
5,BCO VOTORANTIM S.A.,"   0,65","     8,13"
6,BANCOOB,"   0,69","     8,63"
7,BCO SOFISA S.A.,"   0,79","     9,90"
8,BCO ABC BRASIL S.A.,"   0,85","    10,66"
9,BCO SOCIETE GENERALE BRASIL,"   0,88","    11,03"
10,BCO DO BRASIL S.A.,"   0,91","    11,45"
11,CAIXA ECONOMICA FEDERAL,"   0,91","    11,50"
12,BRB - BCO DE BRASILIA S.A.,"   0,96","    12,18"
13,BCO DO NORDESTE DO BRASIL S.A.,"   1,00","    12,67"
14,BCO SAFRA S.A.,"   1,04","    13,16"
15,BCO VOLVO BRASIL S.A.,"   1,09","    13,91"
16,BCO DAYCOVAL S.A,"   1,11","    14,12"
17,BCO MERCANTIL DO BRASIL S.A.,"   1,13","    14,46"
18,ITAÚ UNIBANCO S.A.,"   1,18","    15,18"
19,BCO MAXINVEST S.A.,"   1,20","    15,32"
20,BRK S.A. CFI,"   1,20","    15,39"
21,BCO DES. DE MG S.A.,"   1,33","    17,16"
22,BCO DO EST. DO PA S.A.,"   1,41","    18,33"
23,BCO DO EST. DE SE S.A.,"   1,44","    18,67"
24,BCO DA AMAZONIA S.A.,"   1,47","    19,16"
25,BCO GUANABARA S.A.,"   1,53","    20,03"
26,BCO BRADESCO S.A.,"   1,67","    21,94"
27,FACTA S.A. CFI,"   1,67","    21,99"
28,GOLCRED S/A - CFI,"   1,71","    22,61"
29,CARUANA SCFI,"   1,72","    22,69"
30,BCO SANTANDER (BRASIL) S.A.,"   1,74","    23,00"
31,BCO TRIANGULO S.A.,"   1,81","    24,01"
32,BCO INDUSTRIAL DO BRASIL S.A.,"   1,93","    25,78"
33,BCO DO ESTADO DO RS S.A.,"   2,10","    28,27"
34,SENFF S.A. - CFI,"   2,12","    28,65"
35,BCO BANESTES S.A.,"   2,22","    30,19"
36,BANCO TOPÁZIO S.A.,"   2,46","    33,86"
37,PORTOSEG S.A. CFI,"   2,59","    35,86"
38,OMNI BANCO S.A.,"   4,26","    64,96"

