Textbox15,Textbox4,Textbox10
08/05/2020 a 14/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,29","     3,57"
2,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,38","     4,60"
3,BCO HONDA S.A.,"   0,43","     5,27"
4,BCO DO NORDESTE DO BRASIL S.A.,"   0,46","     5,72"
5,BCO CITIBANK S.A.,"   0,55","     6,75"
6,BANCOOB,"   0,57","     7,06"
7,BCO VOTORANTIM S.A.,"   0,65","     8,09"
8,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
9,BCO DO BRASIL S.A.,"   0,80","    10,08"
10,BCO BANESTES S.A.,"   0,94","    11,86"
11,ITAÚ UNIBANCO S.A.,"   0,96","    12,12"
12,BCO FIBRA S.A.,"   0,98","    12,42"
13,BANCO MONEO S.A.,"   0,99","    12,55"
14,BCO INDUSTRIAL DO BRASIL S.A.,"   1,00","    12,67"
15,BCO ABC BRASIL S.A.,"   1,02","    12,95"
16,BCO VOLVO BRASIL S.A.,"   1,11","    14,16"
17,BCO SOFISA S.A.,"   1,14","    14,58"
18,BRB - BCO DE BRASILIA S.A.,"   1,19","    15,28"
19,BCO DAYCOVAL S.A,"   1,23","    15,78"
20,BANCO RANDON S.A.,"   1,26","    16,19"
21,BCO DO EST. DE SE S.A.,"   1,30","    16,70"
22,CAIXA ECONOMICA FEDERAL,"   1,36","    17,62"
23,BCO BS2 S.A.,"   1,40","    18,16"
24,BCO BRADESCO S.A.,"   1,49","    19,38"
25,BCO SANTANDER (BRASIL) S.A.,"   1,50","    19,49"
26,BCO DO ESTADO DO RS S.A.,"   1,52","    19,82"
27,BCO DA AMAZONIA S.A.,"   1,57","    20,57"
28,BANCO INBURSA,"   1,63","    21,41"
29,BCO SAFRA S.A.,"   1,72","    22,67"
30,BCO GUANABARA S.A.,"   1,97","    26,34"
31,GOLCRED S/A - CFI,"   2,04","    27,35"
32,BCO INDUSCRED DE INVESTIM. S/A,"   2,17","    29,38"
33,SOCINAL S.A. CFI,"   2,50","    34,49"
34,BCO ARBI S.A.,"   2,50","    34,49"
35,BCO TRIANGULO S.A.,"   2,63","    36,53"
36,PORTOSEG S.A. CFI,"   2,95","    41,78"
37,BCO MERCANTIL DO BRASIL S.A.,"   2,98","    42,23"
38,OMNI BANCO S.A.,"   3,00","    42,58"
39,BRK S.A. CFI,"   3,53","    51,61"
40,BANCO TOPÁZIO S.A.,"   3,53","    51,66"
41,BANCO BTG PACTUAL S.A.,"   3,80","    56,46"
42,SENFF S.A. - CFI,"   4,19","    63,66"
43,DIRECAO S.A. CFI,"   4,60","    71,52"

