Textbox15,Textbox4,Textbox10
14/05/2020 a 20/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,33","     4,01"
2,BCO HONDA S.A.,"   0,43","     5,26"
3,BCO CITIBANK S.A.,"   0,55","     6,80"
4,BANCOOB,"   0,57","     7,06"
5,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
6,BCO VOTORANTIM S.A.,"   0,80","    10,00"
7,BCO ALFA DE INVESTIMENTO S.A.,"   0,82","    10,36"
8,BCO DO BRASIL S.A.,"   0,88","    11,13"
9,BCO SAFRA S.A.,"   0,90","    11,34"
10,ITAÚ UNIBANCO S.A.,"   0,93","    11,68"
11,BANCO MONEO S.A.,"   0,99","    12,55"
12,BCO ABC BRASIL S.A.,"   1,03","    13,14"
13,BANCO RANDON S.A.,"   1,05","    13,35"
14,BRB - BCO DE BRASILIA S.A.,"   1,06","    13,47"
15,BCO BRADESCO S.A.,"   1,06","    13,53"
16,BCO SANTANDER (BRASIL) S.A.,"   1,07","    13,58"
17,BCO DO NORDESTE DO BRASIL S.A.,"   1,09","    13,92"
18,BCO VOLVO BRASIL S.A.,"   1,10","    14,00"
19,BCO ALFA S.A.,"   1,13","    14,41"
20,BCO MUFG BRASIL S.A.,"   1,40","    18,21"
21,CAIXA ECONOMICA FEDERAL,"   1,45","    18,89"
22,BCO DAYCOVAL S.A,"   1,47","    19,07"
23,BCO GUANABARA S.A.,"   1,47","    19,10"
24,BANCO INBURSA,"   1,50","    19,56"
25,BCO DO ESTADO DO RS S.A.,"   1,54","    20,18"
26,BANCO SEMEAR,"   1,76","    23,34"
27,OMNI BANCO S.A.,"   1,77","    23,37"
28,CARUANA SCFI,"   1,80","    23,87"
29,BCO DO EST. DE SE S.A.,"   1,87","    24,86"
30,BCO INDUSTRIAL DO BRASIL S.A.,"   1,90","    25,34"
31,BCO MERCANTIL DO BRASIL S.A.,"   1,97","    26,41"
32,LECCA CFI S.A.,"   2,20","    29,77"
33,GOLCRED S/A - CFI,"   2,29","    31,18"
34,BCO ARBI S.A.,"   2,39","    32,81"
35,SOCINAL S.A. CFI,"   2,50","    34,49"
36,BCO TRIANGULO S.A.,"   2,74","    38,24"
37,BANCO BTG PACTUAL S.A.,"   2,77","    38,77"
38,BCO DA AMAZONIA S.A.,"   2,88","    40,58"
39,BRK S.A. CFI,"   3,01","    42,77"
40,BCO INDUSCRED DE INVESTIM. S/A,"   3,05","    43,34"
41,BCO BANESTES S.A.,"   3,09","    44,02"
42,SENFF S.A. - CFI,"   3,24","    46,55"
43,PORTOSEG S.A. CFI,"   3,40","    49,28"
44,VIA CERTA FINANCIADORA S.A. - CFI,"   3,42","    49,64"
45,BANCO TOPÁZIO S.A.,"   8,18","   156,99"

