Textbox15,Textbox4,Textbox10
15/05/2020 a 21/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SAFRA S.A.,"   0,80","    10,07"
2,BCO ANDBANK S.A.,"   1,06","    13,50"
3,BCO RENDIMENTO S.A.,"   1,13","    14,46"
4,BCO VOLVO BRASIL S.A.,"   1,18","    15,13"
5,BCO TOYOTA DO BRASIL S.A.,"   1,50","    19,56"
6,ITAÚ UNIBANCO S.A.,"   1,51","    19,74"
7,BCO A.J. RENNER S.A.,"   1,56","    20,46"
8,BANCO INTER,"   1,75","    23,19"
9,BCO MÁXIMA S.A.,"   1,90","    25,30"
10,BCO DA AMAZONIA S.A.,"   1,99","    26,71"
11,BCO C6 S.A.,"   2,00","    26,82"
12,BCO DO EST. DE SE S.A.,"   2,21","    30,03"
13,BANCO INBURSA,"   2,57","    35,55"
14,BCO DO NORDESTE DO BRASIL S.A.,"   2,77","    38,81"
15,SIMPALA S.A. CFI,"   2,78","    38,97"
16,FINANC ALFA S.A. CFI,"   2,92","    41,33"
17,SANTANA S.A. - CFI,"   2,99","    42,35"
18,BCO SANTANDER (BRASIL) S.A.,"   3,06","    43,55"
19,BRB - BCO DE BRASILIA S.A.,"   3,06","    43,57"
20,PORTOSEG S.A. CFI,"   3,22","    46,24"
21,BCO DO BRASIL S.A.,"   3,27","    47,06"
22,CAIXA ECONOMICA FEDERAL,"   3,30","    47,56"
23,SINOSSERRA S/A - SCFI,"   3,34","    48,25"
24,SOCINAL S.A. CFI,"   3,50","    51,11"
25,NU FINANCEIRA S.A. CFI,"   3,60","    52,90"
26,BCO BANESTES S.A.,"   3,71","    54,76"
27,OMNI BANCO S.A.,"   3,80","    56,49"
28,BCO DO EST. DO PA S.A.,"   3,81","    56,62"
29,BANCO ORIGINAL,"   3,81","    56,71"
30,AYMORÉ CFI S.A.,"   3,83","    57,01"
31,BCO DO ESTADO DO RS S.A.,"   4,46","    68,75"
32,BCO BRADESCO S.A.,"   4,51","    69,83"
33,BV FINANCEIRA S.A. CFI,"   4,86","    76,81"
34,CENTROCRED S.A. CFI,"   5,44","    88,83"
35,SOROCRED CFI S.A.,"   5,55","    91,25"
36,OMNI SA CFI,"   5,98","   100,79"
37,BCO LOSANGO S.A.,"   6,12","   104,01"
38,BANCO DIGIO,"   6,51","   113,18"
39,ZEMA CFI S/A,"   7,92","   149,52"
40,KREDILIG S.A. - CFI,"   8,23","   158,22"
41,GOLCRED S/A - CFI,"   8,38","   162,63"
42,BECKER FINANCEIRA SA - CFI,"   8,63","   170,07"
43,BCO MERCANTIL DO BRASIL S.A.,"   9,02","   181,99"
44,FINAMAX S.A. CFI,"   9,29","   190,42"
45,SAX S.A. CFI,"   9,66","   202,45"
46,HS FINANCEIRA,"   9,70","   203,67"
47,GAZINCRED S.A. SCFI,"  10,35","   225,98"
48,SENFF S.A. - CFI,"  10,53","   232,62"
49,PORTOCRED S.A. - CFI,"  11,06","   252,08"
50,BANCO TOPÁZIO S.A.,"  11,35","   263,48"
51,CREDIARE CFI S.A.,"  11,74","   278,83"
52,BANCO SEMEAR,"  12,05","   291,86"
53,VIA CERTA FINANCIADORA S.A. - CFI,"  12,17","   296,84"
54,LEBES FINANCEIRA CFI SA,"  12,47","   309,54"
55,LECCA CFI S.A.,"  13,16","   340,97"
56,NEGRESCO S.A. - CFI,"  13,54","   359,20"
57,REALIZE CFI S.A.,"  13,71","   367,07"
58,BCO AGIBANK S.A.,"  13,76","   369,82"
59,BCO DAYCOVAL S.A,"  15,51","   463,93"
60,AGORACRED S/A SCFI,"  15,55","   466,62"
61,BANCOSEGURO S.A.,"  17,22","   572,98"
62,BCO BMG S.A.,"  19,72","   766,53"
63,FACTA S.A. CFI,"  20,15","   805,20"
64,CREFISA S.A. CFI,"  21,59","   944,18"
65,JBCRED S.A. SCFI,"  25,52"," 1.429,12"

