Textbox15,Textbox4,Textbox10
06/05/2020 a 12/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BANCOOB,"   0,75","     9,38"
2,BCO SAFRA S.A.,"   0,90","    11,39"
3,BCO ANDBANK S.A.,"   1,06","    13,46"
4,BCO INDUSCRED DE INVESTIM. S/A,"   1,31","    16,87"
5,BCO VOLVO BRASIL S.A.,"   1,39","    17,99"
6,BCO GUANABARA S.A.,"   1,50","    19,56"
7,BANCO INTER,"   1,75","    23,19"
8,BCO A.J. RENNER S.A.,"   1,89","    25,18"
9,BCO MÁXIMA S.A.,"   1,90","    25,32"
10,BCO TRICURY S.A.,"   1,91","    25,55"
11,BCO C6 S.A.,"   1,94","    25,87"
12,BCO DO EST. DE SE S.A.,"   1,94","    25,88"
13,BCO DA AMAZONIA S.A.,"   2,46","    33,83"
14,BANCO INBURSA,"   2,71","    37,75"
15,HS FINANCEIRA,"   2,83","    39,75"
16,ITAÚ UNIBANCO S.A.,"   2,83","    39,80"
17,SIMPALA S.A. CFI,"   2,91","    41,14"
18,PORTOSEG S.A. CFI,"   2,95","    41,66"
19,SANTANA S.A. - CFI,"   3,04","    43,24"
20,BCO SANTANDER (BRASIL) S.A.,"   3,12","    44,56"
21,CAIXA ECONOMICA FEDERAL,"   3,22","    46,33"
22,SINOSSERRA S/A - SCFI,"   3,46","    50,48"
23,BCO DO BRASIL S.A.,"   3,49","    50,97"
24,NU FINANCEIRA S.A. CFI,"   3,52","    51,54"
25,BANCO ORIGINAL,"   3,53","    51,72"
26,BCO DO NORDESTE DO BRASIL S.A.,"   3,63","    53,34"
27,BCO DO ESTADO DO RS S.A.,"   3,80","    56,43"
28,BCO DO EST. DO PA S.A.,"   3,89","    58,05"
29,AYMORÉ CFI S.A.,"   3,99","    59,83"
30,BCO BANESTES S.A.,"   4,11","    62,09"
31,BRB - BCO DE BRASILIA S.A.,"   4,11","    62,09"
32,OMNI SA CFI,"   4,12","    62,32"
33,OMNI BANCO S.A.,"   4,20","    63,78"
34,FINANC ALFA S.A. CFI,"   4,26","    64,99"
35,BCO BRADESCO S.A.,"   4,72","    73,97"
36,BV FINANCEIRA S.A. CFI,"   4,90","    77,52"
37,CENTROCRED S.A. CFI,"   5,55","    91,21"
38,SOROCRED CFI S.A.,"   6,29","   107,89"
39,BCO LOSANGO S.A.,"   6,53","   113,64"
40,BANCO DIGIO,"   6,70","   117,84"
41,KREDILIG S.A. - CFI,"   7,96","   150,71"
42,GOLCRED S/A - CFI,"   7,98","   151,15"
43,ZEMA CFI S/A,"   8,39","   162,82"
44,FINAMAX S.A. CFI,"   8,51","   166,33"
45,BCO MERCANTIL DO BRASIL S.A.,"   8,87","   177,30"
46,GAZINCRED S.A. SCFI,"  10,27","   223,26"
47,SENFF S.A. - CFI,"  10,34","   225,78"
48,BANCO TOPÁZIO S.A.,"  11,17","   256,46"
49,CREDIARE CFI S.A.,"  11,69","   276,91"
50,PORTOCRED S.A. - CFI,"  12,02","   290,42"
51,BANCO SEMEAR,"  12,07","   292,32"
52,LEBES FINANCEIRA CFI SA,"  12,33","   303,65"
53,VIA CERTA FINANCIADORA S.A. - CFI,"  12,90","   328,68"
54,LECCA CFI S.A.,"  13,05","   335,95"
55,BCO AGIBANK S.A.,"  13,27","   346,06"
56,NEGRESCO S.A. - CFI,"  13,41","   352,56"
57,REALIZE CFI S.A.,"  14,00","   381,56"
58,AGORACRED S/A SCFI,"  15,86","   485,33"
59,BANCOSEGURO S.A.,"  16,71","   538,90"
60,FACTA S.A. CFI,"  18,73","   684,82"
61,BCO BMG S.A.,"  19,56","   753,16"
62,BCO DAYCOVAL S.A,"  19,80","   773,55"
63,CREFISA S.A. CFI,"  21,75","   960,90"
64,JBCRED S.A. SCFI,"  26,79"," 1.626,33"

