Textbox15,Textbox4,Textbox10
19/05/2020 a 25/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO ABC BRASIL S.A.,"   0,76","     9,50"
2,BCO SAFRA S.A.,"   0,80","     9,99"
3,BCO PINE S.A.,"   1,00","    12,68"
4,BCO RENDIMENTO S.A.,"   1,00","    12,73"
5,BCO ANDBANK S.A.,"   1,06","    13,48"
6,BCO TRICURY S.A.,"   1,20","    15,39"
7,BCO VOLVO BRASIL S.A.,"   1,40","    18,16"
8,ITAÚ UNIBANCO S.A.,"   1,46","    19,01"
9,BCO TOYOTA DO BRASIL S.A.,"   1,50","    19,56"
10,BANCO INTER,"   1,75","    23,19"
11,BCO DA AMAZONIA S.A.,"   1,84","    24,44"
12,BCO MÁXIMA S.A.,"   1,90","    25,30"
13,BANCO PAN,"   2,10","    28,26"
14,BCO A.J. RENNER S.A.,"   2,10","    28,35"
15,BANCO INBURSA,"   2,20","    29,83"
16,BCO DO EST. DE SE S.A.,"   2,27","    30,85"
17,BCO DO NORDESTE DO BRASIL S.A.,"   2,57","    35,62"
18,SANTANA S.A. - CFI,"   2,61","    36,29"
19,CREDITÁ S.A. CFI,"   2,63","    36,50"
20,BCO SANTANDER (BRASIL) S.A.,"   2,74","    38,37"
21,BRB - BCO DE BRASILIA S.A.,"   2,89","    40,79"
22,SIMPALA S.A. CFI,"   2,91","    41,10"
23,FINANC ALFA S.A. CFI,"   3,01","    42,71"
24,SINOSSERRA S/A - SCFI,"   3,16","    45,33"
25,BCO DO BRASIL S.A.,"   3,26","    47,01"
26,CAIXA ECONOMICA FEDERAL,"   3,28","    47,31"
27,AYMORÉ CFI S.A.,"   3,42","    49,77"
28,SOCINAL S.A. CFI,"   3,50","    51,11"
29,PORTOSEG S.A. CFI,"   3,52","    51,43"
30,NU FINANCEIRA S.A. CFI,"   3,62","    53,22"
31,OMNI BANCO S.A.,"   3,63","    53,38"
32,BCO DO EST. DO PA S.A.,"   3,78","    55,99"
33,BCO BANESTES S.A.,"   3,85","    57,43"
34,BANCO ORIGINAL,"   4,15","    62,81"
35,BCO DO ESTADO DO RS S.A.,"   4,31","    65,85"
36,BCO BRADESCO S.A.,"   4,44","    68,51"
37,BV FINANCEIRA S.A. CFI,"   4,89","    77,36"
38,SOROCRED CFI S.A.,"   5,67","    93,82"
39,CENTROCRED S.A. CFI,"   5,73","    95,13"
40,BCO LOSANGO S.A.,"   5,96","   100,35"
41,OMNI SA CFI,"   5,98","   100,72"
42,BANCO DIGIO,"   6,48","   112,52"
43,ZEMA CFI S/A,"   7,73","   144,49"
44,KREDILIG S.A. - CFI,"   8,27","   159,43"
45,GOLCRED S/A - CFI,"   8,49","   165,80"
46,BECKER FINANCEIRA SA - CFI,"   8,59","   168,72"
47,FINAMAX S.A. CFI,"   9,08","   183,79"
48,BCO MERCANTIL DO BRASIL S.A.,"   9,11","   184,56"
49,SAX S.A. CFI,"   9,77","   206,10"
50,GAZINCRED S.A. SCFI,"  10,37","   226,83"
51,SENFF S.A. - CFI,"  10,49","   231,16"
52,PORTOCRED S.A. - CFI,"  10,73","   239,90"
53,BANCO TOPÁZIO S.A.,"  11,23","   258,67"
54,CREDIARE CFI S.A.,"  11,47","   268,04"
55,VIA CERTA FINANCIADORA S.A. - CFI,"  12,05","   291,72"
56,BANCO SEMEAR,"  12,07","   292,38"
57,LEBES FINANCEIRA CFI SA,"  12,31","   302,83"
58,BCO DAYCOVAL S.A,"  12,58","   314,39"
59,LECCA CFI S.A.,"  13,31","   348,00"
60,REALIZE CFI S.A.,"  13,44","   354,22"
61,NEGRESCO S.A. - CFI,"  13,50","   357,14"
62,BCO AGIBANK S.A.,"  13,69","   366,36"
63,AGORACRED S/A SCFI,"  13,91","   377,39"
64,BANCOSEGURO S.A.,"  17,44","   588,21"
65,BCO BMG S.A.,"  19,56","   753,16"
66,FACTA S.A. CFI,"  20,65","   851,14"
67,CREFISA S.A. CFI,"  21,56","   941,52"
68,JBCRED S.A. SCFI,"  25,01"," 1.356,10"

