Textbox15,Textbox4,Textbox10
11/05/2020 a 15/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BCO ABC BRASIL S.A.,"   0,62","     7,71"
3,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,65","     8,04"
4,BANCOOB,"   0,72","     8,98"
5,BCO SOCIETE GENERALE BRASIL,"   0,81","    10,11"
6,BCO ALFA DE INVESTIMENTO S.A.,"   0,81","    10,20"
7,BCO DO BRASIL S.A.,"   0,94","    11,94"
8,BRB - BCO DE BRASILIA S.A.,"   0,95","    11,95"
9,BCO VOLVO BRASIL S.A.,"   1,05","    13,34"
10,BCO TRIANGULO S.A.,"   1,08","    13,74"
11,BCO DAYCOVAL S.A,"   1,11","    14,10"
12,BCO INDUSTRIAL DO BRASIL S.A.,"   1,11","    14,19"
13,CAIXA ECONOMICA FEDERAL,"   1,13","    14,43"
14,BCO DO NORDESTE DO BRASIL S.A.,"   1,14","    14,60"
15,BANCO JOHN DEERE S.A.,"   1,19","    15,25"
16,ITAÚ UNIBANCO S.A.,"   1,20","    15,42"
17,BANCO BARI S.A.,"   1,23","    15,80"
18,BCO DO EST. DO PA S.A.,"   1,24","    15,99"
19,BCO SAFRA S.A.,"   1,28","    16,50"
20,BCO DES. DE MG S.A.,"   1,30","    16,73"
21,BCO ARBI S.A.,"   1,35","    17,46"
22,BCO SANTANDER (BRASIL) S.A.,"   1,38","    17,87"
23,BCO MAXINVEST S.A.,"   1,39","    18,07"
24,BCO GUANABARA S.A.,"   1,40","    18,10"
25,BCO DA AMAZONIA S.A.,"   1,40","    18,13"
26,SANTINVEST S.A. - CFI,"   1,40","    18,16"
27,BCO DO EST. DE SE S.A.,"   1,48","    19,34"
28,BCO SOFISA S.A.,"   1,50","    19,56"
29,BCO RIBEIRAO PRETO S.A.,"   1,50","    19,56"
30,FACTA S.A. CFI,"   1,54","    20,14"
31,BCO BANESTES S.A.,"   1,63","    21,34"
32,SENFF S.A. - CFI,"   1,63","    21,41"
33,BCO DO ESTADO DO RS S.A.,"   1,67","    22,00"
34,BCO PINE S.A.,"   1,69","    22,20"
35,BCO BRADESCO S.A.,"   1,69","    22,33"
36,BANCO SEMEAR,"   1,79","    23,68"
37,CARUANA SCFI,"   1,80","    23,87"
38,GOLCRED S/A - CFI,"   2,01","    26,97"
39,OMNI BANCO S.A.,"   2,10","    28,36"
40,PORTOSEG S.A. CFI,"   2,17","    29,45"
41,SIMPALA S.A. CFI,"   2,19","    29,71"
42,BCO MERCANTIL DO BRASIL S.A.,"   2,34","    31,99"
43,SOCINAL S.A. CFI,"   2,60","    36,07"
44,BANCO TOPÁZIO S.A.,"   2,67","    37,11"
45,VIA CERTA FINANCIADORA S.A. - CFI,"   3,44","    50,08"

