Textbox15,Textbox4,Textbox10
12/05/2020 a 18/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BNP PARIBAS BRASIL S A,"   0,53","     6,50"
2,BCO SAFRA S.A.,"   0,84","    10,56"
3,BCO ANDBANK S.A.,"   1,06","    13,47"
4,BCO VOLVO BRASIL S.A.,"   1,21","    15,50"
5,BCO TOYOTA DO BRASIL S.A.,"   1,50","    19,56"
6,BCO RENDIMENTO S.A.,"   1,72","    22,76"
7,BANCO INTER,"   1,75","    23,19"
8,BCO A.J. RENNER S.A.,"   1,77","    23,36"
9,BCO MÁXIMA S.A.,"   1,90","    25,32"
10,BCO DO EST. DE SE S.A.,"   2,07","    27,82"
11,BCO C6 S.A.,"   2,16","    29,30"
12,BCO DA AMAZONIA S.A.,"   2,19","    29,62"
13,BANCO INBURSA,"   2,49","    34,30"
14,ITAÚ UNIBANCO S.A.,"   2,67","    37,12"
15,FINANC ALFA S.A. CFI,"   3,13","    44,77"
16,BCO SANTANDER (BRASIL) S.A.,"   3,17","    45,40"
17,CAIXA ECONOMICA FEDERAL,"   3,25","    46,81"
18,BRB - BCO DE BRASILIA S.A.,"   3,27","    47,18"
19,PORTOSEG S.A. CFI,"   3,36","    48,75"
20,BCO DO BRASIL S.A.,"   3,40","    49,43"
21,BCO DO NORDESTE DO BRASIL S.A.,"   3,47","    50,55"
22,NU FINANCEIRA S.A. CFI,"   3,49","    50,85"
23,SINOSSERRA S/A - SCFI,"   3,65","    53,79"
24,BANCO ORIGINAL,"   3,69","    54,41"
25,BCO DO EST. DO PA S.A.,"   3,82","    56,73"
26,BCO BANESTES S.A.,"   3,95","    59,21"
27,OMNI SA CFI,"   4,14","    62,66"
28,OMNI BANCO S.A.,"   4,16","    63,02"
29,AYMORÉ CFI S.A.,"   4,25","    64,75"
30,BCO BRADESCO S.A.,"   4,55","    70,62"
31,BCO DO ESTADO DO RS S.A.,"   4,58","    71,16"
32,BV FINANCEIRA S.A. CFI,"   4,69","    73,39"
33,CENTROCRED S.A. CFI,"   5,44","    88,90"
34,SOROCRED CFI S.A.,"   5,80","    96,74"
35,BCO LOSANGO S.A.,"   6,39","   110,40"
36,BANCO DIGIO,"   6,51","   113,18"
37,ZEMA CFI S/A,"   8,12","   155,19"
38,KREDILIG S.A. - CFI,"   8,20","   157,47"
39,GOLCRED S/A - CFI,"   8,25","   159,04"
40,BCO MERCANTIL DO BRASIL S.A.,"   8,96","   179,91"
41,FINAMAX S.A. CFI,"   9,48","   196,35"
42,SAX S.A. CFI,"   9,62","   201,08"
43,HS FINANCEIRA,"   9,70","   203,67"
44,GAZINCRED S.A. SCFI,"  10,37","   226,57"
45,SENFF S.A. - CFI,"  10,37","   226,78"
46,BANCO TOPÁZIO S.A.,"  11,22","   258,13"
47,PORTOCRED S.A. - CFI,"  11,49","   268,95"
48,CREDIARE CFI S.A.,"  11,64","   275,01"
49,BANCO SEMEAR,"  12,06","   292,24"
50,LEBES FINANCEIRA CFI SA,"  12,34","   303,90"
51,VIA CERTA FINANCIADORA S.A. - CFI,"  12,51","   311,53"
52,LECCA CFI S.A.,"  13,08","   337,21"
53,NEGRESCO S.A. - CFI,"  13,43","   353,66"
54,REALIZE CFI S.A.,"  13,93","   378,35"
55,BCO AGIBANK S.A.,"  13,96","   379,54"
56,AGORACRED S/A SCFI,"  16,16","   503,81"
57,BANCOSEGURO S.A.,"  16,89","   550,38"
58,BCO DAYCOVAL S.A,"  18,57","   672,27"
59,FACTA S.A. CFI,"  19,12","   715,89"
60,BCO BMG S.A.,"  19,69","   764,35"
61,CREFISA S.A. CFI,"  21,66","   951,22"
62,JBCRED S.A. SCFI,"  26,45"," 1.571,78"

