Textbox15,Textbox4,Textbox10
22/05/2020 a 28/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,52","     6,45"
2,BANCOOB,"   0,69","     8,57"
3,BCO CITIBANK S.A.,"   0,74","     9,23"
4,BCO SOCIETE GENERALE BRASIL,"   0,78","     9,80"
5,BCO C6 S.A.,"   0,90","    11,35"
6,BCO CATERPILLAR S.A.,"   0,93","    11,75"
7,BCO DO BRASIL S.A.,"   0,98","    12,37"
8,BRB - BCO DE BRASILIA S.A.,"   1,02","    13,01"
9,BCO VOLVO BRASIL S.A.,"   1,07","    13,61"
10,BCO DO NORDESTE DO BRASIL S.A.,"   1,09","    13,94"
11,ITAÚ UNIBANCO S.A.,"   1,10","    14,08"
12,CAIXA ECONOMICA FEDERAL,"   1,14","    14,56"
13,BCO MERCANTIL DO BRASIL S.A.,"   1,14","    14,58"
14,BCO BMG S.A.,"   1,21","    15,54"
15,BCO SANTANDER (BRASIL) S.A.,"   1,25","    16,13"
16,BCO GUANABARA S.A.,"   1,27","    16,34"
17,BCO DAYCOVAL S.A,"   1,27","    16,36"
18,BCO DES. DE MG S.A.,"   1,29","    16,56"
19,BCO DA AMAZONIA S.A.,"   1,29","    16,60"
20,BCO PINE S.A.,"   1,35","    17,47"
21,FACTA S.A. CFI,"   1,36","    17,54"
22,BCO DO EST. DO PA S.A.,"   1,40","    18,12"
23,BCO DO EST. DE SE S.A.,"   1,40","    18,13"
24,BCO RIBEIRAO PRETO S.A.,"   1,47","    19,19"
25,BCO SOFISA S.A.,"   1,50","    19,56"
26,BCO PAULISTA S.A.,"   1,53","    20,03"
27,BCO BRADESCO S.A.,"   1,54","    20,19"
28,BCO TRIANGULO S.A.,"   1,60","    20,97"
29,BCO SAFRA S.A.,"   1,65","    21,75"
30,BCO INDUSTRIAL DO BRASIL S.A.,"   1,66","    21,87"
31,BCO TRICURY S.A.,"   1,70","    22,42"
32,CARUANA SCFI,"   1,79","    23,72"
33,BCO MAXINVEST S.A.,"   1,92","    25,66"
34,BCO DO ESTADO DO RS S.A.,"   1,99","    26,71"
35,PORTOCRED S.A. - CFI,"   2,00","    26,82"
36,SANTANA S.A. - CFI,"   2,19","    29,67"
37,SIMPALA S.A. CFI,"   2,19","    29,71"
38,BCO BANESTES S.A.,"   2,69","    37,48"
39,PORTOSEG S.A. CFI,"   2,95","    41,71"
40,BANCO TOPÁZIO S.A.,"   2,97","    42,06"
41,SOCINAL S.A. CFI,"   3,00","    42,58"
42,OMNI BANCO S.A.,"   3,35","    48,43"
43,OMNI SA CFI,"   3,61","    53,05"

