Textbox15,Textbox4,Textbox10
13/05/2020 a 19/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BANCOOB,"   0,68","     8,45"
3,INTESA SANPAOLO BRASIL S.A. BM,"   0,68","     8,50"
4,BCO MERCANTIL DO BRASIL S.A.,"   0,80","    10,00"
5,BCO SOCIETE GENERALE BRASIL,"   0,80","    10,09"
6,BCO CATERPILLAR S.A.,"   0,83","    10,39"
7,BCO ALFA DE INVESTIMENTO S.A.,"   0,83","    10,48"
8,BCO RIBEIRAO PRETO S.A.,"   0,87","    10,90"
9,BCO DO BRASIL S.A.,"   0,94","    11,85"
10,BRB - BCO DE BRASILIA S.A.,"   0,97","    12,34"
11,BCO VOLVO BRASIL S.A.,"   1,06","    13,50"
12,BCO DAYCOVAL S.A,"   1,10","    13,96"
13,BCO BS2 S.A.,"   1,10","    14,03"
14,BCO INDUSTRIAL DO BRASIL S.A.,"   1,13","    14,38"
15,CAIXA ECONOMICA FEDERAL,"   1,17","    14,92"
16,BCO DO NORDESTE DO BRASIL S.A.,"   1,17","    14,93"
17,BANCO JOHN DEERE S.A.,"   1,19","    15,25"
18,BCO DO EST. DO PA S.A.,"   1,20","    15,41"
19,ITAÚ UNIBANCO S.A.,"   1,21","    15,57"
20,BANCO BARI S.A.,"   1,23","    15,80"
21,BCO SOFISA S.A.,"   1,23","    15,85"
22,BCO DES. DE MG S.A.,"   1,30","    16,71"
23,BCO SAFRA S.A.,"   1,31","    16,88"
24,BCO SANTANDER (BRASIL) S.A.,"   1,35","    17,40"
25,BCO MAXINVEST S.A.,"   1,37","    17,72"
26,BCO DA AMAZONIA S.A.,"   1,40","    18,13"
27,SANTINVEST S.A. - CFI,"   1,40","    18,16"
28,BCO GUANABARA S.A.,"   1,50","    19,56"
29,FACTA S.A. CFI,"   1,50","    19,56"
30,BCO DO EST. DE SE S.A.,"   1,54","    20,10"
31,BCO BRADESCO S.A.,"   1,64","    21,49"
32,SENFF S.A. - CFI,"   1,66","    21,81"
33,PARANA BCO S.A.,"   1,70","    22,42"
34,BCO DO ESTADO DO RS S.A.,"   1,71","    22,49"
35,CARUANA SCFI,"   1,80","    23,87"
36,BCO TRIANGULO S.A.,"   1,80","    23,93"
37,BCO BANESTES S.A.,"   2,02","    27,17"
38,OMNI BANCO S.A.,"   2,10","    28,36"
39,PORTOSEG S.A. CFI,"   2,35","    32,17"
40,BANCO TOPÁZIO S.A.,"   2,66","    37,07"
41,BCO RENDIMENTO S.A.,"   4,00","    60,10"

