Textbox15,Textbox4,Textbox10
12/05/2020 a 18/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,65","     8,04"
3,BANCOOB,"   0,68","     8,43"
4,BCO SOCIETE GENERALE BRASIL,"   0,80","    10,09"
5,BCO ALFA DE INVESTIMENTO S.A.,"   0,83","    10,48"
6,BRB - BCO DE BRASILIA S.A.,"   0,96","    12,17"
7,BCO DO BRASIL S.A.,"   0,97","    12,29"
8,BCO VOLVO BRASIL S.A.,"   1,05","    13,37"
9,BCO DAYCOVAL S.A,"   1,08","    13,73"
10,BCO BS2 S.A.,"   1,10","    14,03"
11,BCO INDUSTRIAL DO BRASIL S.A.,"   1,12","    14,24"
12,BCO SOFISA S.A.,"   1,13","    14,37"
13,BCO SAFRA S.A.,"   1,14","    14,50"
14,CAIXA ECONOMICA FEDERAL,"   1,15","    14,71"
15,BCO DO NORDESTE DO BRASIL S.A.,"   1,17","    15,02"
16,BANCO JOHN DEERE S.A.,"   1,19","    15,25"
17,ITAÚ UNIBANCO S.A.,"   1,19","    15,26"
18,BANCO BARI S.A.,"   1,23","    15,80"
19,BCO DO EST. DO PA S.A.,"   1,23","    15,84"
20,BCO DES. DE MG S.A.,"   1,29","    16,59"
21,BCO GUANABARA S.A.,"   1,32","    17,07"
22,BCO ARBI S.A.,"   1,35","    17,46"
23,BCO SANTANDER (BRASIL) S.A.,"   1,37","    17,66"
24,BCO MAXINVEST S.A.,"   1,39","    18,07"
25,SANTINVEST S.A. - CFI,"   1,40","    18,16"
26,BCO DA AMAZONIA S.A.,"   1,43","    18,50"
27,BCO DO EST. DE SE S.A.,"   1,51","    19,76"
28,FACTA S.A. CFI,"   1,54","    20,14"
29,SENFF S.A. - CFI,"   1,66","    21,81"
30,BCO BRADESCO S.A.,"   1,69","    22,24"
31,BCO DO ESTADO DO RS S.A.,"   1,69","    22,32"
32,BCO TRIANGULO S.A.,"   1,76","    23,29"
33,BCO PINE S.A.,"   1,78","    23,65"
34,CARUANA SCFI,"   1,80","    23,87"
35,BCO BANESTES S.A.,"   1,94","    25,95"
36,OMNI BANCO S.A.,"   2,10","    28,36"
37,BCO MERCANTIL DO BRASIL S.A.,"   2,34","    31,99"
38,PORTOSEG S.A. CFI,"   2,35","    32,12"
39,BANCO TOPÁZIO S.A.,"   2,86","    40,32"
40,VIA CERTA FINANCIADORA S.A. - CFI,"   3,44","    50,08"

