Textbox15,Textbox4,Textbox10
08/05/2020 a 14/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BNP PARIBAS BRASIL S A,"   0,53","     6,50"
2,BCO SAFRA S.A.,"   0,86","    10,85"
3,BCO ANDBANK S.A.,"   1,06","    13,46"
4,BCO VOLVO BRASIL S.A.,"   1,24","    15,98"
5,BCO INDUSCRED DE INVESTIM. S/A,"   1,33","    17,17"
6,BCO RENDIMENTO S.A.,"   1,72","    22,76"
7,BANCO INTER,"   1,75","    23,19"
8,BCO MÁXIMA S.A.,"   1,90","    25,32"
9,BCO A.J. RENNER S.A.,"   1,90","    25,39"
10,BCO DO EST. DE SE S.A.,"   1,94","    25,90"
11,BCO TRICURY S.A.,"   1,95","    26,01"
12,BCO C6 S.A.,"   2,03","    27,23"
13,BCO DA AMAZONIA S.A.,"   2,31","    31,50"
14,BANCO INBURSA,"   2,54","    35,10"
15,HS FINANCEIRA,"   2,70","    37,67"
16,ITAÚ UNIBANCO S.A.,"   2,73","    38,22"
17,SIMPALA S.A. CFI,"   2,84","    39,94"
18,PORTOSEG S.A. CFI,"   2,88","    40,61"
19,SANTANA S.A. - CFI,"   3,04","    43,24"
20,BCO SANTANDER (BRASIL) S.A.,"   3,16","    45,24"
21,CAIXA ECONOMICA FEDERAL,"   3,23","    46,37"
22,NU FINANCEIRA S.A. CFI,"   3,46","    50,49"
23,BCO DO BRASIL S.A.,"   3,49","    50,91"
24,SINOSSERRA S/A - SCFI,"   3,56","    52,12"
25,BCO DO EST. DO PA S.A.,"   3,82","    56,78"
26,BANCO ORIGINAL,"   3,82","    56,81"
27,BCO DO NORDESTE DO BRASIL S.A.,"   3,84","    57,25"
28,AYMORÉ CFI S.A.,"   3,89","    58,08"
29,BCO BANESTES S.A.,"   3,91","    58,53"
30,BRB - BCO DE BRASILIA S.A.,"   4,01","    60,30"
31,FINANC ALFA S.A. CFI,"   4,03","    60,59"
32,BCO DO ESTADO DO RS S.A.,"   4,19","    63,62"
33,OMNI BANCO S.A.,"   4,19","    63,66"
34,OMNI SA CFI,"   4,24","    64,50"
35,BCO BRADESCO S.A.,"   4,65","    72,47"
36,BV FINANCEIRA S.A. CFI,"   4,71","    73,81"
37,CENTROCRED S.A. CFI,"   5,85","    97,81"
38,SOROCRED CFI S.A.,"   5,99","   100,93"
39,BANCO DIGIO,"   6,48","   112,50"
40,BCO LOSANGO S.A.,"   6,49","   112,69"
41,KREDILIG S.A. - CFI,"   8,03","   152,78"
42,GOLCRED S/A - CFI,"   8,14","   155,86"
43,ZEMA CFI S/A,"   8,27","   159,58"
44,BCO MERCANTIL DO BRASIL S.A.,"   8,95","   179,83"
45,FINAMAX S.A. CFI,"   9,09","   184,03"
46,GAZINCRED S.A. SCFI,"  10,30","   224,33"
47,SENFF S.A. - CFI,"  10,33","   225,20"
48,BANCO TOPÁZIO S.A.,"  11,23","   258,51"
49,CREDIARE CFI S.A.,"  11,52","   270,01"
50,PORTOCRED S.A. - CFI,"  11,89","   285,18"
51,BANCO SEMEAR,"  12,06","   292,26"
52,LEBES FINANCEIRA CFI SA,"  12,27","   300,99"
53,VIA CERTA FINANCIADORA S.A. - CFI,"  12,87","   327,57"
54,LECCA CFI S.A.,"  13,09","   337,58"
55,NEGRESCO S.A. - CFI,"  13,37","   350,68"
56,BCO AGIBANK S.A.,"  13,65","   364,19"
57,REALIZE CFI S.A.,"  13,94","   378,78"
58,AGORACRED S/A SCFI,"  16,11","   500,12"
59,BANCOSEGURO S.A.,"  16,78","   543,32"
60,BCO DAYCOVAL S.A,"  18,19","   642,79"
61,FACTA S.A. CFI,"  18,82","   692,01"
62,BCO BMG S.A.,"  19,61","   757,51"
63,CREFISA S.A. CFI,"  21,72","   957,21"
64,JBCRED S.A. SCFI,"  26,73"," 1.615,77"

