Textbox15,Textbox4,Textbox10
07/05/2020 a 13/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO KEB HANA DO BRASIL S.A.,"   0,29","     3,57"
2,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,38","     4,60"
3,BCO HONDA S.A.,"   0,43","     5,24"
4,BCO DO NORDESTE DO BRASIL S.A.,"   0,46","     5,72"
5,BCO CITIBANK S.A.,"   0,55","     6,75"
6,BANCOOB,"   0,57","     7,06"
7,BCO VOTORANTIM S.A.,"   0,65","     8,09"
8,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
9,ITAÚ UNIBANCO S.A.,"   0,92","    11,56"
10,BCO BANESTES S.A.,"   0,94","    11,86"
11,BCO FIBRA S.A.,"   0,98","    12,42"
12,BANCO MONEO S.A.,"   0,99","    12,55"
13,BCO INDUSTRIAL DO BRASIL S.A.,"   1,00","    12,67"
14,BCO DO BRASIL S.A.,"   1,04","    13,20"
15,BCO SANTANDER (BRASIL) S.A.,"   1,09","    13,95"
16,BCO VOLVO BRASIL S.A.,"   1,10","    14,01"
17,BCO RODOBENS S.A.,"   1,14","    14,53"
18,BCO SOFISA S.A.,"   1,14","    14,58"
19,BRB - BCO DE BRASILIA S.A.,"   1,19","    15,28"
20,BCO BMG S.A.,"   1,19","    15,29"
21,BCO ABC BRASIL S.A.,"   1,19","    15,30"
22,BCO DO ESTADO DO RS S.A.,"   1,21","    15,49"
23,BCO PINE S.A.,"   1,22","    15,66"
24,BCO DAYCOVAL S.A,"   1,25","    16,07"
25,BCO DO EST. DE SE S.A.,"   1,37","    17,71"
26,BCO BS2 S.A.,"   1,40","    18,16"
27,BANCO INBURSA,"   1,46","    18,95"
28,BCO BRADESCO S.A.,"   1,49","    19,45"
29,BCO SAFRA S.A.,"   1,50","    19,50"
30,CAIXA ECONOMICA FEDERAL,"   1,53","    19,93"
31,BANCO RANDON S.A.,"   1,55","    20,27"
32,BCO DA AMAZONIA S.A.,"   1,57","    20,57"
33,BCO INDUSCRED DE INVESTIM. S/A,"   1,85","    24,59"
34,BCO GUANABARA S.A.,"   2,10","    28,32"
35,GOLCRED S/A - CFI,"   2,13","    28,82"
36,BANCO BTG PACTUAL S.A.,"   2,41","    33,06"
37,BCO TRIANGULO S.A.,"   2,59","    35,94"
38,PORTOSEG S.A. CFI,"   2,87","    40,48"
39,BCO MERCANTIL DO BRASIL S.A.,"   2,98","    42,23"
40,OMNI BANCO S.A.,"   3,00","    42,58"
41,BRK S.A. CFI,"   3,33","    48,23"
42,BANCO TOPÁZIO S.A.,"   3,51","    51,35"
43,SENFF S.A. - CFI,"   4,05","    60,95"
44,DIRECAO S.A. CFI,"   4,60","    71,52"

