Textbox15,Textbox4,Textbox10
19/05/2020 a 25/05/2020,Pessoa jurídica - Capital de giro com prazo até 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO SUMITOMO MITSUI BRASIL S.A.,"   0,35","     4,30"
2,COMMERZBANK BRASIL S.A. - BCO MÚLTIPLO,"   0,42","     5,20"
3,BCO HONDA S.A.,"   0,43","     5,24"
4,BCO CITIBANK S.A.,"   0,56","     6,89"
5,BCO ABC BRASIL S.A.,"   0,59","     7,35"
6,BCO RABOBANK INTL BRASIL S.A.,"   0,62","     7,75"
7,BANCO JOHN DEERE S.A.,"   0,72","     8,99"
8,BCO VOTORANTIM S.A.,"   0,80","    10,00"
9,ITAÚ UNIBANCO S.A.,"   0,85","    10,67"
10,BCO DO BRASIL S.A.,"   0,87","    11,00"
11,BCO SAFRA S.A.,"   0,88","    11,11"
12,BCO SANTANDER (BRASIL) S.A.,"   0,90","    11,37"
13,BANCO MONEO S.A.,"   0,99","    12,55"
14,BCO SOFISA S.A.,"   1,04","    13,22"
15,BCO VOLVO BRASIL S.A.,"   1,08","    13,79"
16,BCO BS2 S.A.,"   1,10","    14,03"
17,BCO ALFA S.A.,"   1,13","    14,41"
18,BCO DAYCOVAL S.A,"   1,30","    16,79"
19,BCO BRADESCO S.A.,"   1,32","    16,97"
20,BCO DO EST. DE SE S.A.,"   1,32","    17,01"
21,BCO DO NORDESTE DO BRASIL S.A.,"   1,39","    17,99"
22,BCO DO ESTADO DO RS S.A.,"   1,42","    18,39"
23,CAIXA ECONOMICA FEDERAL,"   1,42","    18,49"
24,BANCO INBURSA,"   1,50","    19,56"
25,BANCO BTG PACTUAL S.A.,"   1,56","    20,39"
26,BANCO SEMEAR,"   1,62","    21,22"
27,BCO INDUSTRIAL DO BRASIL S.A.,"   1,90","    25,34"
28,FINANC ALFA S.A. CFI,"   2,00","    26,82"
29,BCO MUFG BRASIL S.A.,"   2,03","    27,24"
30,LECCA CFI S.A.,"   2,07","    27,80"
31,GOLCRED S/A - CFI,"   2,20","    29,76"
32,BCO ARBI S.A.,"   2,20","    29,84"
33,BCO TRIANGULO S.A.,"   2,27","    30,86"
34,BCO INDUSCRED DE INVESTIM. S/A,"   2,31","    31,57"
35,BRB - BCO DE BRASILIA S.A.,"   2,53","    34,92"
36,SENFF S.A. - CFI,"   2,69","    37,44"
37,BCO DA AMAZONIA S.A.,"   2,88","    40,58"
38,BCO MERCANTIL DO BRASIL S.A.,"   3,01","    42,81"
39,BRK S.A. CFI,"   3,02","    42,84"
40,BCO BANESTES S.A.,"   3,10","    44,23"
41,VIA CERTA FINANCIADORA S.A. - CFI,"   3,42","    49,64"
42,PORTOSEG S.A. CFI,"   3,58","    52,42"
43,BANCO TOPÁZIO S.A.,"   8,42","   163,88"

