Textbox15,Textbox4,Textbox10
14/05/2020 a 20/05/2020,Pessoa jurídica - Capital de giro com prazo superior a 365 dias,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BMG S.A.,"   0,50","     6,17"
2,BANCOOB,"   0,68","     8,43"
3,INTESA SANPAOLO BRASIL S.A. BM,"   0,68","     8,50"
4,BCO MERCANTIL DO BRASIL S.A.,"   0,80","    10,00"
5,AMAGGI S.A. CFI,"   0,80","    10,07"
6,BCO ALFA S.A.,"   0,81","    10,20"
7,BCO SOCIETE GENERALE BRASIL,"   0,82","    10,31"
8,BCO CATERPILLAR S.A.,"   0,83","    10,39"
9,BCO RIBEIRAO PRETO S.A.,"   0,87","    10,90"
10,BCO DO BRASIL S.A.,"   0,89","    11,15"
11,BRB - BCO DE BRASILIA S.A.,"   0,95","    12,05"
12,BCO SOFISA S.A.,"   0,97","    12,27"
13,OMNI BANCO S.A.,"   1,00","    12,68"
14,BCO DAYCOVAL S.A,"   1,05","    13,31"
15,BCO VOLVO BRASIL S.A.,"   1,09","    13,87"
16,BCO BS2 S.A.,"   1,10","    14,03"
17,BCO INDUSTRIAL DO BRASIL S.A.,"   1,13","    14,40"
18,BCO DO NORDESTE DO BRASIL S.A.,"   1,13","    14,44"
19,CAIXA ECONOMICA FEDERAL,"   1,17","    15,00"
20,BANCO JOHN DEERE S.A.,"   1,19","    15,25"
21,ITAÚ UNIBANCO S.A.,"   1,20","    15,44"
22,BCO SAFRA S.A.,"   1,22","    15,71"
23,BANCO BARI S.A.,"   1,23","    15,80"
24,BCO DO EST. DO PA S.A.,"   1,25","    16,04"
25,BCO DES. DE MG S.A.,"   1,31","    16,87"
26,BCO MAXINVEST S.A.,"   1,34","    17,27"
27,BCO DA AMAZONIA S.A.,"   1,37","    17,74"
28,SENFF S.A. - CFI,"   1,38","    17,90"
29,SANTINVEST S.A. - CFI,"   1,40","    18,16"
30,BCO SANTANDER (BRASIL) S.A.,"   1,44","    18,69"
31,FACTA S.A. CFI,"   1,48","    19,32"
32,BCO GUANABARA S.A.,"   1,50","    19,56"
33,BCO DO EST. DE SE S.A.,"   1,58","    20,63"
34,BCO BRADESCO S.A.,"   1,60","    21,03"
35,BCO DO ESTADO DO RS S.A.,"   1,69","    22,34"
36,PARANA BCO S.A.,"   1,70","    22,42"
37,BCO TRIANGULO S.A.,"   1,82","    24,15"
38,BCO BANESTES S.A.,"   1,98","    26,48"
39,PORTOSEG S.A. CFI,"   2,40","    32,87"
40,BANCO TOPÁZIO S.A.,"   2,66","    37,07"
41,BCO RENDIMENTO S.A.,"   4,00","    60,10"

