Textbox15,Textbox4,Textbox10
11/05/2020 a 15/05/2020,Pessoa física - Crédito pessoal não-consignado,Pré-fixado

POSICAO,IF_NM,TAXAS_MENSAIS,TAXAS_ANUAIS
1,BCO BNP PARIBAS BRASIL S A,"   0,53","     6,50"
2,BCO SAFRA S.A.,"   0,88","    11,03"
3,BCO ANDBANK S.A.,"   1,06","    13,46"
4,BCO VOLVO BRASIL S.A.,"   1,21","    15,56"
5,BCO INDUSCRED DE INVESTIM. S/A,"   1,33","    17,17"
6,BCO TOYOTA DO BRASIL S.A.,"   1,50","    19,56"
7,BCO RENDIMENTO S.A.,"   1,72","    22,76"
8,BANCO INTER,"   1,75","    23,19"
9,BCO MÁXIMA S.A.,"   1,90","    25,32"
10,BCO TRICURY S.A.,"   1,95","    26,01"
11,BCO A.J. RENNER S.A.,"   1,95","    26,07"
12,BCO DO EST. DE SE S.A.,"   2,04","    27,44"
13,BCO C6 S.A.,"   2,15","    29,09"
14,BCO DA AMAZONIA S.A.,"   2,41","    33,05"
15,BANCO INBURSA,"   2,45","    33,63"
16,ITAÚ UNIBANCO S.A.,"   2,70","    37,66"
17,PORTOSEG S.A. CFI,"   2,90","    40,96"
18,BCO SANTANDER (BRASIL) S.A.,"   3,19","    45,69"
19,CAIXA ECONOMICA FEDERAL,"   3,23","    46,43"
20,BCO DO BRASIL S.A.,"   3,46","    50,39"
21,NU FINANCEIRA S.A. CFI,"   3,49","    50,84"
22,BRB - BCO DE BRASILIA S.A.,"   3,65","    53,74"
23,SINOSSERRA S/A - SCFI,"   3,65","    53,79"
24,BCO DO NORDESTE DO BRASIL S.A.,"   3,76","    55,70"
25,BCO DO EST. DO PA S.A.,"   3,79","    56,25"
26,BCO BANESTES S.A.,"   3,86","    57,47"
27,BANCO ORIGINAL,"   3,86","    57,58"
28,AYMORÉ CFI S.A.,"   4,00","    60,04"
29,FINANC ALFA S.A. CFI,"   4,03","    60,59"
30,OMNI BANCO S.A.,"   4,10","    61,90"
31,OMNI SA CFI,"   4,20","    63,83"
32,BCO DO ESTADO DO RS S.A.,"   4,34","    66,45"
33,BCO BRADESCO S.A.,"   4,64","    72,28"
34,BV FINANCEIRA S.A. CFI,"   4,69","    73,32"
35,CENTROCRED S.A. CFI,"   5,62","    92,63"
36,SOROCRED CFI S.A.,"   5,64","    93,09"
37,BCO LOSANGO S.A.,"   6,51","   113,15"
38,BANCO DIGIO,"   6,51","   113,18"
39,KREDILIG S.A. - CFI,"   8,09","   154,34"
40,GOLCRED S/A - CFI,"   8,13","   155,38"
41,ZEMA CFI S/A,"   8,21","   157,83"
42,BCO MERCANTIL DO BRASIL S.A.,"   8,94","   179,51"
43,FINAMAX S.A. CFI,"   9,26","   189,58"
44,SAX S.A. CFI,"   9,71","   204,10"
45,GAZINCRED S.A. SCFI,"  10,25","   222,51"
46,SENFF S.A. - CFI,"  10,32","   225,03"
47,BANCO TOPÁZIO S.A.,"  11,22","   258,16"
48,CREDIARE CFI S.A.,"  11,61","   273,61"
49,PORTOCRED S.A. - CFI,"  11,76","   279,74"
50,BANCO SEMEAR,"  12,06","   292,22"
51,LEBES FINANCEIRA CFI SA,"  12,37","   305,43"
52,VIA CERTA FINANCIADORA S.A. - CFI,"  12,84","   325,99"
53,LECCA CFI S.A.,"  13,12","   339,00"
54,NEGRESCO S.A. - CFI,"  13,38","   351,21"
55,BCO AGIBANK S.A.,"  14,00","   381,95"
56,REALIZE CFI S.A.,"  14,05","   384,17"
57,AGORACRED S/A SCFI,"  16,10","   499,72"
58,BANCOSEGURO S.A.,"  16,78","   543,47"
59,BCO DAYCOVAL S.A,"  18,35","   655,20"
60,FACTA S.A. CFI,"  18,69","   681,94"
61,BCO BMG S.A.,"  19,66","   761,79"
62,CREFISA S.A. CFI,"  21,70","   955,60"
63,JBCRED S.A. SCFI,"  26,64"," 1.601,23"

