Instituição financeira;tx a.m.;tx a.a.;data_i;data_f;segmento;modalidade;tipo_encargo;nome_do_arquivo
BANCOOB;0,75%;9,38%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO SAFRA S.A.;0,86%;10,80%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO INDUSCRED DE INVESTIM. S/A;1,03%;13,13%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO ANDBANK S.A.;1,06%;13,48%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO VOLVO BRASIL S.A.;1,37%;17,79%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO SOFISA S.A.;1,50%;19,56%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO BS2 S.A.;1,50%;19,56%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO GUANABARA S.A.;1,63%;21,45%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO INTER;1,75%;23,17%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO TRICURY S.A.;1,80%;23,87%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO A.J. RENNER S.A.;1,81%;23,98%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO EST. DE SE S.A.;2,12%;28,69%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO C6 S.A.;2,15%;29,02%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO ESTADO DO RS S.A.;2,30%;31,42%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DA AMAZONIA S.A.;2,33%;31,90%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO NORDESTE DO BRASIL S.A.;2,48%;34,14%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO INBURSA;2,52%;34,77%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
HS FINANCEIRA;2,83%;39,75%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
ITAÚ UNIBANCO S.A.;2,89%;40,77%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
SANTANA S.A. - CFI;3,04%;43,24%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO SANTANDER (BRASIL) S.A.;3,12%;44,51%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
SIMPALA S.A. CFI;3,21%;46,08%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
CAIXA ECONOMICA FEDERAL;3,24%;46,69%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO BRASIL S.A.;3,34%;48,32%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO ORIGINAL;3,40%;49,37%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
SINOSSERRA S/A - SCFI;3,46%;50,48%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
FINANC ALFA S.A. CFI;3,47%;50,54%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
PORTOSEG S.A. CFI;3,49%;50,92%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
NU FINANCEIRA S.A. CFI;3,52%;51,37%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
OMNI SA CFI;3,85%;57,31%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DO EST. DO PA S.A.;3,95%;59,18%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BRB - BCO DE BRASILIA S.A.;3,98%;59,80%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
AYMORÉ CFI S.A.;4,01%;60,25%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
OMNI BANCO S.A.;4,24%;64,54%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO BANESTES S.A.;4,27%;65,21%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO BRADESCO S.A.;4,69%;73,26%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BV FINANCEIRA S.A. CFI;4,90%;77,52%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO RENDIMENTO S.A.;5,00%;79,59%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
CENTROCRED S.A. CFI;5,49%;89,86%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
SOROCRED CFI S.A.;5,55%;91,21%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO LOSANGO S.A.;6,41%;110,64%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO DIGIO;6,61%;115,64%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
KREDILIG S.A. - CFI;8,02%;152,28%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
FINAMAX S.A. CFI;8,07%;153,78%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
GOLCRED S/A - CFI;8,08%;154,12%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
ZEMA CFI S/A;8,55%;167,59%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO MERCANTIL DO BRASIL S.A.;8,91%;178,62%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
GAZINCRED S.A. SCFI;10,13%;218,26%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
SENFF S.A. - CFI;10,27%;223,19%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO TOPÁZIO S.A.;11,11%;254,13%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
CREDIARE CFI S.A.;11,69%;276,96%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
PORTOCRED S.A. - CFI;11,75%;279,49%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCO SEMEAR;12,04%;291,42%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
LEBES FINANCEIRA CFI SA;12,24%;299,92%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
VIA CERTA FINANCIADORA S.A. - CFI;12,73%;321,00%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO AGIBANK S.A.;13,12%;339,16%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
LECCA CFI S.A.;13,14%;340,13%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
NEGRESCO S.A. - CFI;13,48%;356,20%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
REALIZE CFI S.A.;13,64%;363,77%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
AGORACRED S/A SCFI;15,94%;490,09%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCOSEGURO S.A.;16,71%;539,02%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO BMG S.A.;19,66%;762,16%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
FACTA S.A. CFI;20,14%;803,89%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BCO DAYCOVAL S.A;20,79%;864,21%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
CREFISA S.A. CFI;21,71%;956,96%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
JBCRED S.A. SCFI;26,89%;1642,47%;04/05/2020;08/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-04-05-2020.csv
BANCOOB;0,75%;9,38%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO SAFRA S.A.;0,87%;10,93%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO ANDBANK S.A.;1,06%;13,47%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO INDUSCRED DE INVESTIM. S/A;1,31%;16,87%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO VOLVO BRASIL S.A.;1,36%;17,58%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO GUANABARA S.A.;1,63%;21,45%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO A.J. RENNER S.A.;1,81%;23,98%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO TRICURY S.A.;1,91%;25,55%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO EST. DE SE S.A.;1,92%;25,64%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO C6 S.A.;2,19%;29,66%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DA AMAZONIA S.A.;2,56%;35,38%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO NORDESTE DO BRASIL S.A.;2,63%;36,60%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCO INBURSA;2,68%;37,39%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
HS FINANCEIRA;2,83%;39,75%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
ITAÚ UNIBANCO S.A.;2,87%;40,49%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
SIMPALA S.A. CFI;2,97%;42,04%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
PORTOSEG S.A. CFI;2,98%;42,32%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
SANTANA S.A. - CFI;3,04%;43,24%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO SANTANDER (BRASIL) S.A.;3,13%;44,68%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
CAIXA ECONOMICA FEDERAL;3,24%;46,63%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO BRASIL S.A.;3,32%;48,01%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO ESTADO DO RS S.A.;3,37%;48,76%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
SINOSSERRA S/A - SCFI;3,46%;50,48%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCO ORIGINAL;3,51%;51,27%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
NU FINANCEIRA S.A. CFI;3,55%;51,94%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
AYMORÉ CFI S.A.;3,64%;53,58%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DO EST. DO PA S.A.;3,90%;58,29%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
OMNI SA CFI;4,00%;60,10%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO BANESTES S.A.;4,07%;61,41%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BRB - BCO DE BRASILIA S.A.;4,10%;61,93%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
OMNI BANCO S.A.;4,15%;62,84%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
FINANC ALFA S.A. CFI;4,26%;64,99%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO BRADESCO S.A.;4,74%;74,41%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BV FINANCEIRA S.A. CFI;4,90%;77,52%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
CENTROCRED S.A. CFI;5,65%;93,31%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
SOROCRED CFI S.A.;5,75%;95,62%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO LOSANGO S.A.;6,44%;111,59%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCO DIGIO;6,71%;117,94%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
GOLCRED S/A - CFI;7,86%;147,93%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
KREDILIG S.A. - CFI;7,95%;150,54%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
ZEMA CFI S/A;8,49%;165,78%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
FINAMAX S.A. CFI;8,63%;170,06%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO MERCANTIL DO BRASIL S.A.;8,88%;177,56%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
GAZINCRED S.A. SCFI;10,18%;220,09%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
SENFF S.A. - CFI;10,33%;225,42%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCO TOPÁZIO S.A.;11,12%;254,57%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
CREDIARE CFI S.A.;11,75%;279,13%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
PORTOCRED S.A. - CFI;11,84%;283,03%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCO SEMEAR;12,07%;292,50%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
LEBES FINANCEIRA CFI SA;12,31%;302,82%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
VIA CERTA FINANCIADORA S.A. - CFI;12,91%;329,15%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
LECCA CFI S.A.;13,15%;340,20%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO AGIBANK S.A.;13,15%;340,55%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
NEGRESCO S.A. - CFI;13,42%;353,13%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
REALIZE CFI S.A.;13,94%;378,72%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
AGORACRED S/A SCFI;16,03%;495,41%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCOSEGURO S.A.;16,72%;539,53%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
FACTA S.A. CFI;18,85%;694,62%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO BMG S.A.;19,68%;763,10%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BCO DAYCOVAL S.A;19,91%;783,58%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
CREFISA S.A. CFI;21,75%;960,84%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
JBCRED S.A. SCFI;26,81%;1628,86%;05/05/2020;11/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-05-05-2020.csv
BANCOOB;0,75%;9,38%;06/05/2020;12/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-06-05-2020.csv
BCO SAFRA S.A.;0,90%;11,39%;06/05/2020;12/05/2020;Pessoa física;Crédito pessoal não-consignado;Pré-fixado;Pessoa física-Crédito pessoal não-consignado-Pré-fixado-06-05-2020.csv
